"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.607710000E-1,7.647985220E-2,1.541229188E-1,-2.375941724E-2
8.707809999E-1,5.945053324E-2,1.359006315E-1,-2.283169888E-2
8.807580000E-1,4.361382499E-2,8.459962904E-2,-2.387454733E-2
8.907670000E-1,4.887489602E-2,6.759081781E-2,-1.303947531E-2
9.007770000E-1,3.168864548E-2,2.808461338E-2,5.083485972E-3
9.108150000E-1,3.800408915E-2,-2.780498238E-3,1.702240296E-2
9.208230000E-1,5.088793486E-2,-3.152585775E-2,1.732919924E-2
9.308330000E-1,6.373544037E-2,-1.868589781E-2,7.795244455E-3
9.408109999E-1,6.138040125E-2,2.399810590E-2,8.553151041E-3
9.508490000E-1,4.930456728E-2,9.441554546E-2,2.193873189E-2
9.608590000E-1,2.335389890E-2,1.402270198E-1,3.737861291E-2
9.708370000E-1,2.429363504E-2,1.413255930E-1,4.594022781E-2
9.808450000E-1,3.605921566E-2,1.136566848E-1,5.050089210E-2
9.908550000E-1,4.472678900E-2,6.674169749E-2,5.087795109E-2
1.000894000E0,4.708481207E-2,2.936757542E-2,4.477249458E-2
1.010870000E0,3.240254149E-2,-1.451146789E-2,3.091420420E-2
1.020880000E0,3.364598379E-2,-4.335258156E-2,2.255204506E-2
1.030888000E0,5.922390893E-2,-3.640012071E-2,3.029603139E-2
1.040926000E0,7.170826942E-2,1.815020107E-2,4.727847502E-2
1.050936000E0,7.361600548E-2,7.580769807E-2,5.342832953E-2
1.060914000E0,7.576955855E-2,1.035287306E-1,4.370558634E-2
1.070922000E0,7.373144478E-2,1.173492000E-1,3.185904771E-2
1.080932000E0,6.628986448E-2,1.247596964E-1,2.639095485E-2
1.090970000E0,7.058436424E-2,1.237002760E-1,2.325827442E-2
1.100948000E0,5.564508960E-2,1.204205900E-1,2.308410406E-2
1.110958000E0,2.780671977E-2,1.170981973E-1,3.023232333E-2
1.120998000E0,1.705335826E-2,1.074639708E-1,3.870875016E-2
1.131004000E0,1.167510450E-2,7.545943558E-2,4.948256910E-2
1.141014000E0,2.229307964E-2,4.460772872E-2,6.153193116E-2
1.150993000E0,2.002212405E-2,2.970083244E-2,7.548223436E-2
1.161030000E0,8.167327382E-3,3.073999472E-2,8.494125307E-2
1.171040000E0,1.450305246E-2,3.398761898E-2,8.928629756E-2
1.181031000E0,4.004639015E-2,5.439247563E-2,8.952499926E-2
1.191026000E0,5.500829592E-2,8.219002187E-2,8.209931105E-2
1.201036000E0,4.986380786E-2,1.055548787E-1,5.842065811E-2
1.211061000E0,1.713382080E-2,1.212548092E-1,2.054513618E-2
1.221083000E0,-8.127861656E-3,1.199415997E-1,-1.182132494E-2
1.231093000E0,3.836486721E-3,1.007373855E-1,-2.759331465E-2
1.241090000E0,2.512251399E-2,7.634146512E-2,-1.651415974E-2
1.251109000E0,3.347711638E-2,4.765110835E-2,6.173491944E-3
1.261119000E0,2.792043053E-2,1.996728405E-2,3.188072145E-2
1.271115000E0,2.346572094E-2,-2.608029172E-4,5.222731084E-2
1.281135000E0,3.097338602E-2,-1.303268410E-2,5.132438242E-2
1.291145000E0,4.821606725E-2,-4.467715044E-3,3.441415727E-2
1.301150000E0,4.945363104E-2,2.960231155E-2,1.076300722E-2
1.311161000E0,3.572297096E-2,5.933707952E-2,-9.852411225E-3
1.321171000E0,3.483374417E-2,6.460747123E-2,-2.698372677E-2
1.331178000E0,4.779395089E-2,3.370473161E-2,-3.307098523E-2
1.341188000E0,4.885025322E-2,-4.081707157E-4,-2.433967777E-2
1.351198000E0,4.122283310E-2,-2.599026263E-2,-5.085044075E-3
1.361177000E0,2.918260545E-2,-3.875485063E-2,2.366057970E-2
1.371183000E0,2.779917791E-2,-3.546356037E-2,5.032219738E-2
1.381193000E0,2.123021707E-2,-1.625353657E-2,5.974753946E-2
1.391206000E0,1.812052354E-2,-3.504591295E-3,4.788486287E-2
1.401239000E0,3.329404071E-2,3.965765703E-3,2.560176700E-2
1.411249000E0,5.271581560E-2,1.146583073E-2,5.509912968E-3
1.421250000E0,5.393927917E-2,1.995347813E-2,-1.054727193E-2
1.431265000E0,4.545078799E-2,2.202617563E-2,-1.601667888E-2
1.441275000E0,3.465411812E-2,3.480345383E-2,-8.748395368E-3
1.451265000E0,3.558040038E-2,4.658279195E-2,8.101631538E-4
1.461291000E0,4.075491801E-2,5.306040123E-2,1.365272794E-2
1.471301000E0,4.495680332E-2,5.630463734E-2,1.902252063E-2
1.481294000E0,3.311603144E-2,5.840912461E-2,2.740050666E-2
1.491302000E0,2.022413909E-2,5.090710148E-2,3.688576445E-2
1.501312000E0,4.234517924E-3,3.588714078E-2,3.782479465E-2
1.511323000E0,-3.066845238E-3,-4.565888667E-4,3.150577843E-2
1.521312000E0,5.701758899E-3,-3.247094154E-2,1.896102540E-2
1.531322000E0,1.857064106E-2,-4.095257074E-2,1.596507244E-2
1.541350000E0,2.930757031E-2,-4.198244959E-2,1.076517720E-2
1.551369000E0,3.044617735E-2,-3.346979991E-2,2.190885600E-3
1.561379000E0,2.191096544E-2,-1.006058510E-2,-4.444032907E-3
1.571382000E0,2.080829442E-2,1.979872212E-2,-8.883458562E-3
1.581395000E0,2.494155616E-2,3.905601799E-2,-1.451683231E-3
1.591405000E0,3.017060459E-2,2.952171490E-2,1.040931698E-2
1.601385000E0,2.909590676E-2,1.032741368E-2,1.583006978E-2
1.611425875E0,1.525144279E-2,-3.614025656E-3,1.679602452E-2
1.621435875E0,1.860371232E-2,-2.603269741E-2,9.473622777E-3
1.631444875E0,2.294251323E-2,-4.522178695E-2,8.556877263E-3
1.641422875E0,1.762057096E-2,-4.632006213E-2,7.424479350E-3
1.651432875E0,2.079426125E-2,-3.456486762E-2,7.406636141E-3
1.661456875E0,2.502478100E-2,-1.426996384E-2,6.287377793E-3
1.671446875E0,1.553525217E-2,-9.023105726E-3,-5.624582525E-3
1.681456875E0,1.241807453E-2,-1.972731017E-2,-1.096711028E-2
1.691495875E0,2.195412666E-2,-2.285439894E-2,-4.431625828E-3
1.701503875E0,2.816124260E-2,-5.700854119E-3,8.371451870E-3
1.711513875E0,2.896223031E-2,2.530848607E-2,2.424337342E-2
1.721513875E0,2.028164081E-2,4.449955374E-2,3.150573745E-2
1.731499875E0,1.058821101E-2,5.407303944E-2,3.667156398E-2
1.741509875E0,1.979302382E-3,6.364765763E-2,4.078847170E-2
1.751517875E0,-7.595317904E-3,5.292633921E-2,4.072231799E-2
1.761555875E0,-1.276056003E-2,1.979129761E-2,3.334582224E-2
1.771565875E0,-7.255248725E-3,-1.862046123E-2,2.720042132E-2
1.781542875E0,4.462816752E-3,-1.535484847E-2,2.840612456E-2
1.791581875E0,6.550109480E-3,4.926896654E-3,2.726697177E-2
1.801591875E0,9.666539729E-3,2.523030899E-2,3.041110002E-2
1.811599875E0,1.066665072E-2,3.911522031E-2,3.249352425E-2
1.821577875E0,6.398866884E-3,5.081930757E-2,2.917979844E-2
1.831587875E0,4.368149675E-3,5.290839449E-2,1.953195035E-2
1.841624875E0,-1.367797144E-2,4.638457298E-2,1.185787376E-2
1.851633875E0,-2.746941335E-2,3.028981760E-2,7.490430027E-3
