"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.127830000E-1,-7.915539551E-1,9.709409180E0,1.941462708E0
8.228270000E-1,-8.201445007E-1,9.732161865E0,2.039808197E0
8.328680000E-1,-8.032296753E-1,9.771529999E0,2.151925049E0
8.429510000E-1,-7.776329041E-1,9.706415405E0,2.080373840E0
8.530140000E-1,-7.189549255E-1,9.726623383E0,2.050585785E0
8.630410000E-1,-6.996450806E-1,9.693392487E0,1.991907806E0
8.731200000E-1,-6.915618896E-1,9.727072449E0,2.014211426E0
8.831870000E-1,-7.065307617E-1,9.707762604E0,2.095492401E0
8.932150000E-1,-7.438032532E-1,9.671088867E0,2.127376099E0
9.032970000E-1,-7.620652771E-1,9.658365326E0,2.098336487E0
9.133600000E-1,-7.734416199E-1,9.699230347E0,2.021246796E0
9.233920000E-1,-7.179071045E-1,9.675280151E0,1.960173798E0
9.334720000E-1,-6.870712280E-1,9.653874664E0,1.851799164E0
9.435350000E-1,-6.497987366E-1,9.642797699E0,1.806593170E0
9.535940000E-1,-6.445596313E-1,9.771230621E0,1.789828033E0
9.636490000E-1,-6.695576477E-1,9.715696106E0,1.764979706E0
9.737090000E-1,-7.021897888E-1,9.889035645E0,1.845661926E0
9.837410000E-1,-8.122109985E-1,9.833201752E0,1.830243988E0
9.938260000E-1,-8.548722839E-1,9.734257507E0,1.831890564E0
1.003890000E0,-8.430468750E-1,9.709109802E0,1.794318695E0
1.013917000E0,-8.449928284E-1,9.662406921E0,1.744472351E0
1.024005000E0,-8.741821289E-1,9.696685638E0,1.641935577E0
1.034035000E0,-8.722361755E-1,9.759405212E0,1.614542542E0
1.044093000E0,-8.866062927E-1,9.625583496E0,1.649569702E0
1.054156000E0,-8.955876160E-1,9.633816376E0,1.690734100E0
1.064241000E0,-9.502239990E-1,9.670789490E0,1.717378693E0
1.074298000E0,-9.243278503E-1,9.644743652E0,1.835782471E0
1.084345000E0,-9.178912354E-1,9.649084625E0,1.868564301E0
1.094390000E0,-9.636959839E-1,9.622889099E0,1.922751617E0
1.104450000E0,-1.015039215E0,9.659413147E0,1.895807648E0
1.114524000E0,-9.669891357E-1,9.723629608E0,1.840572510E0
1.124596000E0,-8.726852417E-1,9.735904083E0,1.802701263E0
1.134659000E0,-7.940986633E-1,9.836045837E0,1.751657410E0
1.144702000E0,-7.006929016E-1,9.820927277E0,1.679657135E0
1.154752000E0,-6.423143005E-1,9.822573853E0,1.590742035E0
1.164839000E0,-6.411167908E-1,9.792037354E0,1.584006042E0
1.174878000E0,-7.086264038E-1,9.742939453E0,1.650916901E0
1.184925000E0,-7.430548096E-1,9.681267700E0,1.804647217E0
1.195013000E0,-7.816744995E-1,9.634115753E0,1.850302277E0
1.205059000E0,-7.828720093E-1,9.686057739E0,1.846560059E0
1.215101000E0,-7.813751221E-1,9.729317780E0,1.839225311E0
1.225186000E0,-7.771838379E-1,9.707463226E0,1.803898773E0
1.235241000E0,-7.108717346E-1,9.686656494E0,1.790127411E0
1.245309000E0,-7.051835632E-1,9.641600189E0,1.763033752E0
1.255369000E0,-6.737489319E-1,9.598340149E0,1.725312195E0
1.265416000E0,-6.544390869E-1,9.560019836E0,1.663640442E0
1.275482000E0,-6.307882690E-1,9.542057190E0,1.645228729E0
1.285514000E0,-6.297404480E-1,9.588610382E0,1.651515656E0
1.295596000E0,-6.306385803E-1,9.564061432E0,1.668131104E0
1.305663000E0,-6.295907593E-1,9.552535400E0,1.713636475E0
1.315692000E0,-6.369255066E-1,9.580676880E0,1.748513947E0
1.325756000E0,-6.432124329E-1,9.599837036E0,1.816173248E0
1.335840000E0,-6.366261292E-1,9.666598206E0,1.843566284E0
1.345869000E0,-6.328839111E-1,9.740993500E0,1.852996674E0
1.355938000E0,-6.300398254E-1,9.818532257E0,1.812281342E0
1.366019000E0,-6.339317322E-1,9.877509613E0,1.755399628E0
1.376076000E0,-6.346801758E-1,9.924362183E0,1.742825775E0
1.386120000E0,-6.432124329E-1,9.917925568E0,1.773511963E0
1.396163000E0,-6.776408386E-1,9.844129028E0,1.773362274E0
1.406222000E0,-6.747967529E-1,9.759554901E0,1.731599121E0
1.416310000E0,-6.462062073E-1,9.741592255E0,1.704954529E0
1.426365000E0,-6.608757019E-1,9.765243073E0,1.728605347E0
1.436395000E0,-6.279441833E-1,9.813592529E0,1.772763519E0
1.446485000E0,-6.251000977E-1,9.822573853E0,1.781744843E0
1.456544000E0,-6.215075684E-1,9.819580078E0,1.755399628E0
1.466573000E0,-6.206094360E-1,9.847122803E0,1.697470093E0
1.476656000E0,-6.276448059E-1,9.820178833E0,1.635498962E0
1.486689000E0,-6.349795532E-1,9.724677429E0,1.628613281E0
1.496777000E0,-6.668632507E-1,9.625433807E0,1.602118378E0
1.506835000E0,-7.553292847E-1,9.581275635E0,1.605710907E0
1.516862000E0,-8.125103760E-1,9.571695557E0,1.628014526E0
1.526947000E0,-8.571176147E-1,9.619446259E0,1.678160248E0
1.536980000E0,-8.309220886E-1,9.669142914E0,1.676663361E0
1.547067000E0,-7.946974182E-1,9.749675446E0,1.683399353E0
1.557121000E0,-7.439529419E-1,9.811646576E0,1.695224762E0
1.567183000E0,-7.388635254E-1,9.832902374E0,1.679657135E0
1.577238000E0,-7.574249268E-1,9.782008209E0,1.635798340E0
1.587269000E0,-8.044271851E-1,9.755662994E0,1.612446899E0
1.597358000E0,-8.063731384E-1,9.691745911E0,1.628762970E0
1.607416000E0,-8.232879639E-1,9.730814667E0,1.632505188E0
1.617443000E0,-8.434959412E-1,9.733658752E0,1.624721375E0
1.627531000E0,-8.186476135E-1,9.717043304E0,1.583107910E0
1.637559000E0,-7.929011536E-1,9.703271942E0,1.510658569E0
1.647648000E0,-7.334747314E-1,9.700727234E0,1.452130280E0
1.657696000E0,-6.944059753E-1,9.709409180E0,1.412911835E0
1.667737000E0,-6.520440674E-1,9.754016418E0,1.452279968E0
1.677826000E0,-6.391708374E-1,9.790540466E0,1.528770905E0
1.687853000E0,-6.631210327E-1,9.814640350E0,1.576072540E0
1.697942000E0,-6.984475708E-1,9.834399261E0,1.600471802E0
1.707969000E0,-6.911128235E-1,9.824669495E0,1.611249390E0
1.718055000E0,-6.891668701E-1,9.760303345E0,1.641935577E0
1.728110000E0,-7.334747314E-1,9.727371826E0,1.648372192E0
1.738143000E0,-7.378157043E-1,9.749675446E0,1.617536316E0
1.748231000E0,-7.503895569E-1,9.756710815E0,1.570534058E0
1.758290000E0,-7.189549255E-1,9.722132721E0,1.490151215E0
1.768348000E0,-6.331832886E-1,9.773176575E0,1.409468994E0
1.778406875E0,-6.629713440E-1,9.780661011E0,1.439406738E0
1.788438875E0,-6.707551575E-1,9.742191010E0,1.444645844E0
1.798527875E0,-7.027885437E-1,9.748178558E0,1.514700165E0
1.808586875E0,-7.312294006E-1,9.762398987E0,1.550176392E0
1.818615875E0,-7.563771057E-1,9.824968872E0,1.550326080E0
1.828704875E0,-8.348139954E-1,9.847871246E0,1.532363434E0
1.838733875E0,-8.490344238E-1,9.811047821E0,1.543590088E0
1.848815875E0,-8.232879639E-1,9.753866730E0,1.624571686E0
1.858850875E0,-8.177494812E-1,9.705217896E0,1.653910675E0
1.868939875E0,-8.039781189E-1,9.693242798E0,1.623823242E0
1.878994875E0,-8.065228271E-1,9.675878906E0,1.595681763E0
1.889034875E0,-7.430548096E-1,9.677675171E0,1.518891449E0
1.899084875E0,-6.822811890E-1,9.708960114E0,1.469793549E0
1.909163875E0,-6.548881531E-1,9.715995483E0,1.433119812E0
1.919204875E0,-6.454577637E-1,9.764794006E0,1.451082458E0
1.929289875E0,-6.355783081E-1,9.719887390E0,1.523980865E0
1.939346875E0,-6.288423157E-1,9.678722992E0,1.578317871E0
1.949379875E0,-6.357279968E-1,9.668843536E0,1.611548767E0
1.959439875E0,-6.497987366E-1,9.721234589E0,1.614991608E0
1.969524875E0,-6.364764404E-1,9.749076691E0,1.586700439E0
1.979584875E0,-6.292913818E-1,9.817185059E0,1.574575653E0
1.989617875E0,-6.280938721E-1,9.830956421E0,1.513203278E0
1.999701875E0,-6.406677246E-1,9.814340973E0,1.486408997E0
2.009734875E0,-6.399192810E-1,9.774972839E0,1.523531799E0
2.019823875E0,-6.475534058E-1,9.742041321E0,1.572629700E0
2.029881875E0,-6.328839111E-1,9.670490112E0,1.599723358E0
