"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,5.222210058E1,2.100703605E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.542300463E-1,5.222219525E1,2.100606775E1,1.068199997E2,-1.000000000E0,-1.000000000E0,2.240000000E2,2.240000000E2
4.239699841E-1,5.222207775E1,2.100701643E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.842712998E0,5.222207243E1,2.100703773E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.326176000E1,5.222211771E1,2.100704064E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.968604898E1,5.222214696E1,2.100695673E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.127372909E1,5.222214829E1,2.100695096E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.768777204E1,5.222218438E1,2.100702740E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.409011805E1,5.222214751E1,2.100701273E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
