"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.506470000E-1,4.726554746E-2,6.074033716E-2,2.364347231E-1
7.606860000E-1,8.682107513E-2,7.528902283E-2,1.085035009E-1
7.706630000E-1,8.672017411E-2,7.212727344E-2,1.249272790E-1
7.806730000E-1,1.139322752E-1,4.743737337E-2,3.222339333E-2
7.907130000E-1,1.472668405E-1,1.610308755E-1,-1.382706845E-2
8.006890000E-1,1.474627497E-1,1.587172785E-1,-1.369271440E-3
8.106990000E-1,1.194956268E-1,1.003607689E-1,-1.232761167E-2
8.207370000E-1,-2.476562836E-2,2.155787829E-1,6.463974935E-2
8.307450000E-1,-2.233609199E-2,2.133504456E-1,7.791450488E-2
8.407550000E-1,-5.973641134E-2,1.128436790E-1,9.055345338E-2
8.507620000E-1,-4.316449312E-2,3.979634159E-2,1.284394594E-2
8.607710000E-1,-3.821690358E-2,3.858186120E-2,2.191499425E-2
8.707809999E-1,-6.115743093E-2,7.166414655E-2,-7.097192758E-2
8.807580000E-1,-6.666712062E-2,-5.802457544E-4,-5.359540051E-2
8.907670000E-1,-6.385133911E-2,-1.239298228E-3,-4.850484654E-2
9.007770000E-1,-7.034367167E-2,6.507434251E-3,-3.371852295E-3
9.108150000E-1,-9.519405040E-2,1.777263938E-2,1.416554778E-1
9.208230000E-1,-9.747311234E-2,1.682728851E-2,1.459192400E-1
9.308330000E-1,-9.032905734E-2,2.094717042E-2,1.803078116E-1
9.408109999E-1,-1.806849753E-1,3.251334670E-2,2.038403879E-1
9.508490000E-1,-1.811126443E-1,3.144813476E-2,2.097008328E-1
9.608590000E-1,-1.312425734E-1,9.569283617E-2,1.552057149E-1
9.708370000E-1,3.913327647E-2,2.078054579E-1,6.678002670E-2
9.808450000E-1,3.637425635E-2,2.068368483E-1,7.095848812E-2
9.908550000E-1,1.228644544E-1,1.901899716E-1,4.320638123E-3
1.000894000E0,1.699770789E-1,1.585471611E-1,-8.155493567E-2
1.010870000E0,1.665627801E-1,1.576567032E-1,-7.805988128E-2
1.020880000E0,9.368291974E-2,1.075334753E-1,-7.802930560E-3
1.030888000E0,1.544086800E-2,-1.340898026E-3,1.893741571E-1
1.040926000E0,1.137324329E-2,-2.844151360E-3,1.961622993E-1
1.050936000E0,5.736273872E-3,4.809967104E-2,1.961173123E-1
1.060914000E0,7.750651655E-3,6.893772237E-2,1.550191704E-1
1.070922000E0,6.293679689E-3,6.740878968E-2,1.632850320E-1
1.080932000E0,7.035016756E-2,4.565631148E-2,1.540015539E-1
1.090970000E0,1.034572168E-1,-4.350272257E-2,9.224248557E-2
1.100948000E0,1.032052018E-1,-4.467755154E-2,9.907361403E-2
1.110958000E0,1.192608885E-1,-8.380402149E-2,4.063406944E-2
1.120998000E0,1.366983637E-1,-5.597107855E-2,2.956622668E-2
1.131004000E0,1.335630592E-1,-5.652740914E-2,3.139690767E-2
1.141014000E0,1.252348334E-1,-8.182097484E-2,4.896217647E-2
1.150993000E0,1.078030502E-1,-6.560300960E-2,1.265510417E-1
1.161030000E0,1.002512889E-1,-6.639754571E-2,1.278272513E-1
1.171040000E0,8.408526342E-2,-4.752578510E-2,1.927420985E-1
1.181031000E0,8.278166324E-2,9.356172706E-2,2.248127241E-1
1.191026000E0,7.570693886E-2,9.209866234E-2,2.303977104E-1
1.201036000E0,7.203984386E-2,1.686979274E-1,1.924413506E-1
1.211061000E0,6.308064868E-2,2.742032229E-1,1.230536301E-1
1.221083000E0,6.551015764E-2,2.743095691E-1,1.234684535E-1
1.231093000E0,5.967570537E-2,2.683000567E-1,1.527788371E-1
1.241090000E0,2.779911360E-2,1.946369618E-1,1.529433449E-1
1.251109000E0,3.071125311E-2,1.097930130E-1,1.128175127E-1
1.261119000E0,2.873842082E-2,1.091296464E-1,1.159163908E-1
1.271115000E0,3.699945389E-2,1.143222936E-1,1.134278341E-1
1.281135000E0,6.307079977E-2,1.621616722E-1,1.576843130E-1
1.291145000E0,6.036962825E-2,1.704878332E-1,1.682186567E-1
1.301150000E0,6.110395631E-2,1.668137535E-1,1.447339455E-1
1.311161000E0,6.181330580E-2,1.938424348E-1,8.980801561E-2
1.321171000E0,6.517629077E-2,1.934460850E-1,9.362358877E-2
1.331178000E0,5.349711247E-2,7.047445287E-2,2.909312526E-2
1.341188000E0,2.396737379E-2,-2.936611257E-2,7.222910750E-3
1.351198000E0,-6.238828353E-2,-7.396878549E-2,1.442589300E-2
1.361177000E0,-1.191140595E-1,-8.382206563E-2,3.858662120E-2
1.371183000E0,-1.652419489E-1,-3.627078119E-2,8.928122716E-2
1.381193000E0,-1.423204981E-1,1.311545660E-2,8.824855406E-2
1.391206000E0,-1.092811349E-1,9.339829738E-2,9.512477003E-2
1.401239000E0,-6.057481984E-2,1.550326738E-1,1.081197774E-1
1.411249000E0,-5.553152782E-2,1.757061626E-1,9.607934626E-2
1.421250000E0,-7.186973557E-2,1.241922383E-1,5.696814302E-2
1.431265000E0,-1.148029896E-1,9.742203142E-2,3.799462944E-2
1.441275000E0,-1.129806226E-1,3.330858631E-2,5.717292805E-2
1.451265000E0,-1.266229898E-1,7.216824506E-2,6.364980203E-2
1.461291000E0,-1.442382935E-1,7.467089904E-2,5.912487938E-2
1.471301000E0,-1.180470066E-1,5.740839268E-2,2.211075035E-2
1.481294000E0,-9.216790617E-2,4.282777573E-2,-4.526283955E-2
1.491302000E0,-3.463880046E-2,3.938313074E-2,-9.904943031E-2
1.501312000E0,-3.766734068E-2,3.899538725E-2,-9.799546969E-2
1.511323000E0,3.962068758E-2,9.164428800E-2,-9.570733543E-2
1.521312000E0,4.881179796E-2,1.277737858E-1,-1.839420869E-2
1.531322000E0,2.196295740E-2,1.514885028E-1,3.002714259E-2
1.541350000E0,-1.517912287E-2,1.708428689E-1,5.615255237E-2
1.551369000E0,-8.957016755E-3,1.607198037E-1,6.890053316E-2
1.561379000E0,-7.008424145E-3,9.627316318E-2,1.000923726E-1
1.571382000E0,-4.938942520E-2,6.344280603E-2,1.067486236E-1
1.581395000E0,-5.186857155E-2,8.567147599E-2,7.721044530E-2
1.591405000E0,-6.356202527E-2,9.232892387E-2,3.297410045E-2
1.601385000E0,-3.282830835E-2,5.705856016E-2,-4.336492928E-2
1.611425875E0,5.023258456E-2,1.072050902E-1,-1.195954224E-1
1.621435875E0,1.855350991E-2,1.140066445E-1,-8.618075933E-2
1.631444875E0,8.971975691E-3,7.483714726E-2,-7.730694263E-2
1.641422875E0,-2.408932707E-2,8.046015417E-2,-5.394655436E-3
1.651432875E0,-2.527747672E-2,8.011681298E-2,-3.740098687E-3
1.661456875E0,-5.375153944E-2,9.403259237E-2,3.366227661E-2
1.671446875E0,-1.543373851E-1,1.794100630E-1,1.779749348E-2
1.681456875E0,-1.647258773E-1,1.427016817E-1,3.001656278E-2
1.691495875E0,-1.360423883E-1,8.575434200E-2,1.108357999E-1
1.701503875E0,-1.286709589E-1,3.724212248E-2,1.401355124E-1
1.711513875E0,-1.144516176E-1,2.515340840E-2,1.109779878E-1
1.721513875E0,-1.170818140E-1,7.638043647E-3,8.376585927E-2
1.731499875E0,-5.522112289E-2,9.081367161E-3,8.501208022E-3
1.741509875E0,2.480890233E-3,3.988135006E-2,-3.888692597E-2
1.751517875E0,2.618481841E-2,4.643130510E-2,-7.411878941E-2
1.761555875E0,3.189564547E-2,9.491265315E-2,-5.579744366E-2
1.771565875E0,3.801607913E-2,4.992550524E-2,1.593320356E-2
1.781542875E0,4.094952672E-2,8.696088183E-3,6.899399268E-2
1.791581875E0,3.076190233E-2,-1.211984765E-3,1.009470893E-1
1.801591875E0,2.818584067E-2,-1.541207560E-3,1.019205594E-1
1.811599875E0,1.113129533E-2,5.074830442E-2,1.047047202E-1
1.821577875E0,2.864171564E-2,1.464508890E-1,6.456748598E-2
1.831587875E0,2.769882014E-2,1.598863013E-1,4.416072505E-3
1.841624875E0,1.402869804E-2,1.431401407E-1,-2.201638405E-2
1.851633875E0,1.400614971E-2,1.040694934E-1,1.286640062E-2
1.861643875E0,1.306216585E-2,1.043346737E-1,1.076191004E-2
1.871621875E0,3.629132924E-3,7.149363169E-2,5.850662769E-2
1.881658875E0,2.193480397E-2,1.428136171E-2,8.692856340E-2
1.891668875E0,2.126492319E-2,1.522692843E-2,1.004899399E-2
1.901677875E0,2.879843930E-2,3.178654237E-2,-2.067077299E-2
1.911654875E0,2.724358014E-2,3.787384561E-2,-5.917974956E-3
1.921664875E0,3.054617891E-2,3.787719177E-2,-4.512789963E-3
1.931703875E0,3.285627677E-2,2.561917110E-2,-1.499144010E-3
1.941680875E0,9.712896715E-3,-1.848101928E-2,4.318699577E-2
1.951690875E0,1.094153605E-2,-1.867177556E-2,4.495392384E-2
1.961699875E0,7.818931032E-3,1.857013565E-2,1.649447459E-1
1.971715875E0,2.240370956E-2,5.576712835E-3,2.221636614E-1
1.981725875E0,1.892525464E-2,4.957226033E-3,2.246234205E-1
1.991755875E0,2.831303132E-2,2.093237422E-2,1.823674568E-1
2.001744875E0,2.805480594E-2,2.837619586E-1,8.345835968E-2
2.011754875E0,4.093547513E-2,3.087977078E-1,6.784034160E-2
2.021750875E0,2.787771068E-2,3.046224669E-1,9.098516062E-2
2.031773875E0,1.737338419E-2,2.592533177E-1,1.262205095E-1
2.041783875E0,2.496433320E-2,2.593854465E-1,1.286655319E-1
2.051808875E0,-3.018866735E-2,2.163743149E-1,1.734152417E-1
2.061803875E0,-1.441558660E-1,5.452052596E-2,1.694831537E-1
2.071813875E0,-1.746116186E-1,5.073397417E-2,1.081018612E-1
2.081833875E0,-1.758770292E-1,4.982731770E-2,1.134035590E-1
2.091825875E0,-1.136298645E-1,1.788919997E-1,1.708229906E-2
2.101835875E0,-1.146696274E-1,1.781297055E-1,2.158412407E-2
2.111859875E0,-9.341350928E-2,1.573915502E-1,-1.295838006E-2
2.121862875E0,-1.021727936E-1,1.094587533E-1,-8.638491966E-3
2.131872875E0,-9.797802854E-2,1.093223578E-1,-5.780798363E-3
2.141885875E0,-8.043905851E-2,5.546132469E-2,1.368111304E-2
2.151891875E0,-7.152272159E-2,3.815660417E-2,-3.562173797E-2
2.161901875E0,-7.609417529E-2,2.921454635E-2,8.966078797E-3
2.171911875E0,-7.527212529E-2,2.837925560E-2,1.494180472E-2
