"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.050720000E-1,-3.662882996E-1,9.806557159E0,1.653162231E0
9.151090000E-1,-3.555107117E-1,9.721683655E0,1.626367950E0
9.251960000E-1,-3.376977539E-1,9.750573578E0,1.679507446E0
9.352250000E-1,-2.775228882E-1,9.745484161E0,1.610051880E0
9.453010000E-1,-2.731819153E-1,9.741442566E0,1.553619232E0
9.553280000E-1,-3.718267822E-1,9.715546417E0,1.621428223E0
9.654150000E-1,-3.947291565E-1,9.655970306E0,1.693877563E0
9.754700000E-1,-3.770658875E-1,9.656269684E0,1.659299469E0
9.855270000E-1,-3.068618774E-1,9.620943146E0,1.607357483E0
9.955580000E-1,-2.853067017E-1,9.711355133E0,1.635199585E0
1.005637000E0,-3.022215271E-1,9.717342682E0,1.651515656E0
1.015694000E0,-3.129991150E-1,9.720037079E0,1.667083282E0
1.025740000E0,-3.448828125E-1,9.761351166E0,1.659898224E0
1.035797000E0,-3.430865479E-1,9.785001984E0,1.598675537E0
1.045837000E0,-4.430786133E-1,9.670939178E0,1.600022736E0
1.055917000E0,-3.954776001E-1,9.668693848E0,1.648671570E0
1.065972000E0,-3.501219177E-1,9.713899841E0,1.582060089E0
1.076019000E0,-3.164419556E-1,9.798174591E0,1.573378143E0
1.086085000E0,-3.496728516E-1,9.864786072E0,1.591340790E0
1.096137000E0,-3.885919189E-1,9.871971130E0,1.670675812E0
1.106194000E0,-4.076023865E-1,9.839039612E0,1.657802582E0
1.116220000E0,-4.219725037E-1,9.837393036E0,1.702260132E0
1.126275000E0,-3.788621521E-1,9.852361908E0,1.682800598E0
1.136330000E0,-3.611988831E-1,9.878856812E0,1.609303436E0
1.146384000E0,-3.606001282E-1,9.837991791E0,1.587448883E0
1.156472000E0,-3.951782227E-1,9.799521790E0,1.561852112E0
1.166496000E0,-3.532653809E-1,9.770332489E0,1.567989349E0
1.176551000E0,-3.082090759E-1,9.735455017E0,1.564546509E0
1.186630000E0,-3.212319946E-1,9.714049530E0,1.579515381E0
1.196663000E0,-3.553610229E-1,9.661957855E0,1.543290710E0
1.206750000E0,-3.444337463E-1,9.677226105E0,1.535656586E0
1.216800000E0,-3.598516846E-1,9.733958130E0,1.556613007E0
1.226833000E0,-3.764671326E-1,9.713899841E0,1.585951996E0
1.236921000E0,-3.851490784E-1,9.704918518E0,1.618733826E0
1.246974000E0,-3.362008667E-1,9.710007935E0,1.663640442E0
1.257033000E0,-3.444337463E-1,9.747280426E0,1.605261841E0
1.267059000E0,-3.478765869E-1,9.770033112E0,1.552272034E0
1.277136000E0,-3.688330078E-1,9.810000000E0,1.551074524E0
1.287203000E0,-4.099974060E-1,9.785301361E0,1.472937012E0
1.297229000E0,-4.287084961E-1,9.799372101E0,1.506317596E0
1.307309000E0,-4.339476013E-1,9.793534241E0,1.602717133E0
1.317341000E0,-4.815486145E-1,9.730365601E0,1.603615265E0
1.327395000E0,-5.059478760E-1,9.658964081E0,1.658401337E0
1.337476000E0,-4.894821167E-1,9.666298828E0,1.632804565E0
1.347533000E0,-4.087998962E-1,9.733658752E0,1.623823242E0
1.357591000E0,-3.748205566E-1,9.843530273E0,1.599723358E0
1.367642000E0,-3.995191956E-1,9.843979340E0,1.587897949E0
1.377672000E0,-3.879931641E-1,9.833650818E0,1.567689972E0
1.387758000E0,-3.525169373E-1,9.797725525E0,1.585802307E0
1.397798000E0,-3.200344849E-1,9.819131012E0,1.650018768E0
1.407870000E0,-2.953358459E-1,9.848619690E0,1.675166473E0
1.417893000E0,-2.540217590E-1,9.805359650E0,1.588796082E0
1.427951000E0,-2.749781799E-1,9.714947662E0,1.522633667E0
1.438034000E0,-3.167413330E-1,9.719438324E0,1.517095184E0
1.448086000E0,-3.721261597E-1,9.745184784E0,1.606159973E0
1.458129000E0,-4.249662781E-1,9.749825134E0,1.660646667E0
1.468199000E0,-4.135899353E-1,9.709858246E0,1.745819550E0
1.478253000E0,-3.477268982E-1,9.777816925E0,1.761087799E0
1.488293000E0,-2.915936279E-1,9.852810974E0,1.670376434E0
1.498362000E0,-2.799179077E-1,9.857451324E0,1.655557251E0
1.508392000E0,-3.466790771E-1,9.805209961E0,1.699116669E0
1.518477000E0,-3.426374817E-1,9.733209686E0,1.665287018E0
1.528534000E0,-3.311114502E-1,9.758357391E0,1.637295227E0
1.538560000E0,-3.441343689E-1,9.796378326E0,1.646575928E0
1.548627000E0,-3.586541748E-1,9.786498871E0,1.661844177E0
1.558704000E0,-3.164419556E-1,9.759405212E0,1.651515656E0
1.568729000E0,-3.225791931E-1,9.730365601E0,1.647623749E0
1.578805000E0,-2.571652222E-1,9.732760620E0,1.612895966E0
1.588868000E0,-2.296224976E-1,9.749525757E0,1.592238922E0
1.598919000E0,-2.556683350E-1,9.688452759E0,1.639540558E0
1.608961000E0,-3.288661194E-1,9.673184509E0,1.665137329E0
1.619005000E0,-3.203338623E-1,9.671687622E0,1.699715424E0
1.629060000E0,-3.318598938E-1,9.736353149E0,1.694626007E0
1.639143000E0,-3.667373657E-1,9.786947937E0,1.679507446E0
1.649198000E0,-3.448828125E-1,9.850415955E0,1.659299469E0
1.659259000E0,-3.721261597E-1,9.910441132E0,1.657952271E0
1.669295000E0,-3.990701294E-1,9.924960938E0,1.781894531E0
1.679338000E0,-3.933819580E-1,9.966873779E0,1.821562042E0
1.689425000E0,-3.357518005E-1,9.920470276E0,1.795965271E0
1.699476000E0,-2.986289978E-1,9.868977356E0,1.729353790E0
1.709509000E0,-2.990780640E-1,9.821076965E0,1.692230988E0
1.719595000E0,-3.091072083E-1,9.798473969E0,1.731150055E0
1.729650000E0,-2.688409424E-1,9.791887665E0,1.659598846E0
1.739675000E0,-2.450404358E-1,9.736652527E0,1.609752502E0
1.749762000E0,-2.302212524E-1,9.727521515E0,1.603764954E0
1.759810000E0,-2.185455322E-1,9.782606964E0,1.624571686E0
1.769876000E0,-2.544708252E-1,9.740095367E0,1.655257874E0
1.779932000E0,-3.074606323E-1,9.732311554E0,1.710493011E0
1.789958000E0,-3.173400879E-1,9.716743927E0,1.667682037E0
1.800040000E0,-3.170407104E-1,9.691895599E0,1.636247406E0
1.810068000E0,-3.073109436E-1,9.654922485E0,1.593586121E0
1.820154000E0,-2.609074402E-1,9.641450500E0,1.532213745E0
1.830211000E0,-2.770738220E-1,9.652976532E0,1.485510864E0
1.840265000E0,-2.579136658E-1,9.651329956E0,1.529968414E0
1.850320000E0,-2.460882568E-1,9.684560852E0,1.582060089E0
1.860376000E0,-2.477348328E-1,9.743687897E0,1.688788147E0
1.870402000E0,-2.695893860E-1,9.738598480E0,1.749412079E0
1.880476000E0,-2.766247559E-1,9.779014435E0,1.757046204E0
1.890546000E0,-2.815644836E-1,9.818083191E0,1.706900482E0
1.900572000E0,-2.871029663E-1,9.821076965E0,1.622625732E0
1.910628000E0,-3.085084534E-1,9.802515564E0,1.650168457E0
1.920715000E0,-3.100053406E-1,9.737101593E0,1.618135071E0
1.930769000E0,-2.893482971E-1,9.704020386E0,1.621128845E0
1.940795000E0,-3.372486877E-1,9.735005951E0,1.674567719E0
1.950874000E0,-3.179388428E-1,9.799521790E0,1.703607330E0
1.960922000E0,-2.812651062E-1,9.876012726E0,1.703457642E0
1.970975000E0,-2.511776733E-1,9.853858795E0,1.590442657E0
1.981030000E0,-2.260299683E-1,9.838141479E0,1.518292694E0
1.991086000E0,-2.258802795E-1,9.818831635E0,1.518741760E0
2.001140000E0,-2.926414490E-1,9.723180542E0,1.515897675E0
2.011196000E0,-3.224295044E-1,9.699380035E0,1.523980865E0
2.021249000E0,-3.659889221E-1,9.679172058E0,1.581161957E0
2.031294000E0,-3.787124634E-1,9.692494354E0,1.673370209E0
2.041359000E0,-2.516267395E-1,9.683662720E0,1.679357758E0
2.051428000E0,-1.782792664E-1,9.774224396E0,1.660047913E0
2.061476000E0,-1.499880981E-1,9.776918793E0,1.643432465E0
2.071542000E0,-1.044827271E-1,9.767488403E0,1.620829468E0
2.081568000E0,-1.070274353E-1,9.803563385E0,1.579216003E0
