"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,5.222234617E1,2.100540041E1,1.126123657E2,-1.000000000E0,-1.000000000E0,1.860000000E2,1.860000000E2
8.337739706E-1,5.222234530E1,2.100540384E1,1.126123657E2,-1.000000000E0,-1.000000000E0,1.860000000E2,1.860000000E2
1.033849955E0,5.222151986E1,2.100725615E1,1.115269394E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.438012958E0,5.222146565E1,2.100728386E1,1.119529266E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.384311903E1,5.222156009E1,2.100736364E1,1.129372711E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.540906298E1,5.222157302E1,2.100737081E1,1.129926376E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.181710005E1,5.222168921E1,2.100743510E1,1.134807892E2,-1.000000000E0,-1.000000000E0,1.079882847E2,1.079882847E2
2.367933702E1,5.222173560E1,2.100744833E1,1.136985016E2,-1.000000000E0,-1.000000000E0,1.135747840E2,1.135747840E2
