"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.437359370E-1,2.449999936E-2,4.054999948E-1,3.139999807E-1
8.536625000E-1,-1.579999924E-1,3.129000068E-1,2.308999896E-1
8.635890620E-1,-9.200000018E-2,3.236999810E-1,6.899999827E-2
8.735171870E-1,-9.979999810E-2,3.946000040E-1,-9.019999951E-2
8.834421870E-1,-1.842999905E-1,2.395000011E-1,-2.256999910E-1
8.933671870E-1,-9.889999777E-2,2.054999918E-1,-3.371999860E-1
9.032937500E-1,1.199999941E-3,2.576999962E-1,-2.436999977E-1
9.132203120E-1,-3.999999911E-2,1.964999884E-1,-1.360999942E-1
9.231468750E-1,-1.089999974E-1,2.567999959E-1,-7.800000161E-2
9.330734370E-1,-1.547999978E-1,2.100999951E-1,-1.507000029E-1
9.430000000E-1,-7.919999957E-2,2.243999988E-1,-2.105999887E-1
9.529265620E-1,-3.460000083E-2,1.994999945E-1,-2.603999972E-1
9.628515620E-1,-4.589999840E-2,2.557999790E-1,-2.939999849E-2
9.727781250E-1,-7.029999793E-2,2.560999990E-1,1.920999885E-1
9.827046870E-1,-6.989999861E-2,3.184999824E-1,3.106999993E-1
9.926312500E-1,-6.549999863E-2,2.665999830E-1,2.588999867E-1
1.002557812E0,-5.759999901E-2,2.671999931E-1,1.577999890E-1
1.012484375E0,2.459999919E-2,2.452999949E-1,8.569999784E-2
1.022410937E0,1.213999987E-1,2.881000042E-1,9.939999878E-2
1.032335937E0,8.169999719E-2,2.723000050E-1,1.938999891E-1
1.042262500E0,7.140000165E-2,2.531999946E-1,5.260000005E-2
1.052189062E0,5.829999968E-2,3.649999797E-1,1.916999966E-1
1.062115625E0,1.555999964E-1,3.531000018E-1,2.798999846E-1
1.072042187E0,1.903999895E-1,3.528999984E-1,2.674999833E-1
1.081968750E0,1.018999964E-1,3.255999982E-1,3.555999994E-1
1.091893750E0,8.700000122E-3,3.673999906E-1,3.881999850E-1
1.101820312E0,-1.150000002E-2,4.454999864E-1,2.868999839E-1
1.111746875E0,-7.449999452E-2,3.658999801E-1,2.169999853E-2
1.121675000E0,-1.213999987E-1,4.280000031E-1,-9.039999545E-2
1.131600000E0,-1.731999964E-1,4.812999964E-1,-1.304000020E-1
1.141526562E0,-1.898999959E-1,5.141000152E-1,-2.000999898E-1
1.151453125E0,-1.797999889E-1,5.254999995E-1,-1.938999891E-1
1.161378125E0,-7.549999654E-2,5.092999935E-1,-2.496999949E-1
1.171304687E0,3.099999856E-3,4.584999979E-1,-1.005999967E-1
1.181231250E0,-5.849999934E-2,4.109999835E-1,-1.500000013E-3
1.191157812E0,8.999999613E-3,3.964000046E-1,5.929999799E-2
1.201084375E0,7.429999858E-2,3.993999958E-1,-5.900000036E-2
1.211010937E0,5.969999731E-2,2.858999968E-1,-1.828999966E-1
1.220935937E0,7.580000162E-2,2.786999941E-1,-1.692999899E-1
1.230862500E0,2.008999884E-1,3.382999897E-1,-8.479999751E-2
1.240789062E0,2.201999873E-1,2.536999881E-1,9.380000085E-2
1.250715625E0,2.054999918E-1,2.261999995E-1,3.161999881E-1
1.260642187E0,2.812999785E-1,2.854000032E-1,4.422999918E-1
1.270568750E0,1.136999950E-1,3.296000063E-1,3.468999863E-1
1.280495312E0,-3.199999779E-2,3.735999763E-1,1.603000015E-1
1.290420312E0,-1.436000019E-1,4.204999804E-1,-5.509999767E-2
1.300346875E0,-1.483999938E-1,3.330000043E-1,-7.270000130E-2
1.310273437E0,-7.809999585E-2,2.924000025E-1,8.280000091E-2
1.320200000E0,5.619999766E-2,3.206999898E-1,1.305000037E-1
1.330126562E0,7.769999653E-2,3.499999940E-1,1.021999940E-1
1.340053125E0,-2.999999933E-2,3.838000000E-1,8.919999748E-2
1.349978125E0,-1.702999920E-1,3.924999833E-1,-1.174999997E-1
1.359904687E0,-2.527000010E-1,3.113999963E-1,-2.589999884E-2
1.369831250E0,-3.281999826E-1,5.230999589E-1,2.872000039E-1
1.379757812E0,-3.892999887E-1,5.040999651E-1,5.691999793E-1
1.389684375E0,-3.118999898E-1,5.418999791E-1,3.360999823E-1
1.399610937E0,-1.347000003E-1,5.791999698E-1,-2.263000011E-1
1.409537500E0,1.819999889E-2,4.637999833E-1,-5.557000041E-1
1.419462500E0,1.527999938E-1,4.323999882E-1,-5.130999684E-1
