"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.920890620E-1,1.680729724E-2,9.834450722E0,5.789849758E-1
3.970531250E-1,2.638410218E-2,9.839240074E0,5.741965771E-1
4.020156250E-1,1.316523552E-1,9.781807899E0,6.196576953E-1
4.069796870E-1,1.460079998E-1,9.710029602E0,6.531573534E-1
4.119421870E-1,2.728336453E-1,9.731558800E0,6.340133548E-1
4.169046870E-1,4.594760537E-1,9.698058128E0,7.440891862E-1
4.218687500E-1,5.192927718E-1,9.707635880E0,8.063001037E-1
4.268312500E-1,6.317532063E-1,9.726778984E0,7.369065285E-1
4.317953120E-1,6.413300037E-1,9.748308182E0,9.594427943E-1
4.367593750E-1,6.293590069E-1,9.784202576E0,1.107797146E0
4.417218750E-1,6.221859455E-1,9.755491257E0,1.237007499E0
4.466843750E-1,6.676471233E-1,9.791384697E0,1.311189294E0
4.516468750E-1,8.112130165E-1,9.688490868E0,1.277689695E0
4.566109370E-1,8.160014153E-1,9.753096581E0,1.179575324E0
4.615734370E-1,8.614625335E-1,9.714808464E0,1.162825465E0
4.665375000E-1,8.662509322E-1,9.745914459E0,1.088653088E0
4.715000000E-1,8.255782127E-1,9.681308746E0,1.036009431E0
4.764640620E-1,8.399338126E-1,9.659780502E0,9.905482531E-1
4.814265620E-1,8.590778708E-1,9.707635880E0,1.014471173E0
4.863890620E-1,7.394348383E-1,9.721991539E0,9.929425120E-1
4.913531250E-1,6.126092076E-1,9.729164124E0,1.007298112E0
4.963156250E-1,5.623596907E-1,9.741134644E0,1.031220913E0
5.012796870E-1,3.996497095E-1,9.846412659E0,1.024047971E0
5.062421870E-1,3.254773617E-1,9.791384697E0,8.948376179E-1
5.112062500E-1,2.441223711E-1,9.788990021E0,7.393007874E-1
5.161687500E-1,1.412291676E-1,9.822490692E0,7.010126710E-1
5.211312500E-1,5.509537086E-2,9.846412659E0,7.034068704E-1
5.260953120E-1,5.748957023E-2,9.937344551E0,6.579458117E-1
5.310578120E-1,1.920149848E-2,9.911018372E0,5.694081783E-1
5.360218750E-1,1.029410958E-1,9.879913330E0,7.249451280E-1
5.409843750E-1,7.184520364E-2,9.841633797E0,6.124846935E-1
5.459484370E-1,7.663360238E-2,9.920595169E0,8.063001037E-1
5.509109370E-1,1.364407688E-1,9.884700775E0,1.002509713E0
5.558734370E-1,1.651520431E-1,9.942132950E0,1.081470490E0
5.608375000E-1,7.663360238E-2,9.954094887E0,1.213074923E0
5.658000000E-1,1.077295020E-1,9.944517136E0,1.277689695E0
5.707640620E-1,1.268735379E-1,9.925383568E0,1.325544953E0
5.757265620E-1,1.699404269E-1,9.872738838E0,1.253757238E0
5.806906250E-1,2.010459006E-1,9.870346069E0,1.241795778E0
5.856531250E-1,2.584780157E-1,9.834450722E0,1.210690260E0
5.906156250E-1,2.991507351E-1,9.796163559E0,1.134114146E0
5.955796870E-1,4.020439088E-1,9.793779373E0,1.050364971E0
6.005421870E-1,4.331493974E-1,9.781807899E0,1.059941769E0
6.055062500E-1,4.833988845E-1,9.741134644E0,9.618370533E-1
6.104687500E-1,5.288599730E-1,9.714808464E0,1.004903913E0
6.154312500E-1,5.743306875E-1,9.714808464E0,1.043192029E0
6.203953120E-1,5.480040312E-1,9.733952522E0,1.076691628E0
6.253578120E-1,5.647538304E-1,9.721991539E0,1.043192029E0
6.303218750E-1,4.905815125E-1,9.721991539E0,1.091047287E0
6.352843750E-1,5.360426307E-1,9.681308746E0,1.045586228E0
6.402468750E-1,5.551866293E-1,9.695664406E0,9.905482531E-1
6.452109370E-1,6.102245450E-1,9.635848045E0,1.074297428E0
6.501734370E-1,6.078303456E-1,9.669347763E0,1.213074923E0
6.551375000E-1,5.599750280E-1,9.619097710E0,1.275295496E0
6.601000000E-1,5.145043731E-1,9.659780502E0,1.213074923E0
6.650625000E-1,5.599750280E-1,9.580809593E0,1.177190661E0
6.700265620E-1,4.786105156E-1,9.585598946E0,1.186757922E0
6.749890620E-1,4.283609986E-1,9.654992104E0,1.186757922E0
6.799531250E-1,4.092265368E-1,9.585598946E0,1.270507097E0
6.849156250E-1,3.470060229E-1,9.626279831E0,1.237007499E0
6.898796870E-1,2.632568479E-1,9.652597427E0,1.210690260E0
6.948406250E-1,1.699404269E-1,9.611914635E0,1.131719947E0
6.998046870E-1,1.196909323E-1,9.590386391E0,1.028836250E0
7.047671870E-1,6.705679744E-2,9.662164688E0,1.045586228E0
7.097312500E-1,-7.115567569E-3,9.686098099E0,9.211547375E-1
7.146953120E-1,7.240065839E-3,9.702846527E0,7.751946449E-1
7.196578120E-1,2.451662440E-3,9.717203140E0,7.034068704E-1
7.246218750E-1,5.746084207E-5,9.777029037E0,6.005136967E-1
7.295843750E-1,5.030696467E-2,9.721991539E0,4.784860015E-1
7.345484370E-1,3.355713189E-2,9.738740921E0,3.516603410E-1
7.395093750E-1,5.746084207E-5,9.786596298E0,2.774879634E-1
7.444734370E-1,6.227797270E-2,9.777029037E0,2.726995945E-1
7.494359370E-1,5.748957023E-2,9.760279655E0,3.468815386E-1
7.544000000E-1,9.338344634E-2,9.791384697E0,3.253432810E-1
7.593625000E-1,1.484021842E-1,9.812912941E0,4.641303718E-1
7.643265620E-1,1.555848122E-1,9.834450722E0,5.646198392E-1
7.692906250E-1,1.675462276E-1,9.824884415E0,6.483689547E-1
7.742531250E-1,6.705679744E-2,9.913412094E0,8.350113630E-1
7.792156250E-1,4.073973373E-2,9.932557106E0,9.594427943E-1
7.841796870E-1,-9.509769268E-3,9.966055870E0,9.929425120E-1
7.891421870E-1,-4.061523825E-2,9.934949875E0,9.307219982E-1
7.941062500E-1,-9.086474776E-2,9.903844833E0,9.618370533E-1
7.990687500E-1,-1.459026486E-1,9.961267471E0,1.007298112E0
8.040328120E-1,-1.650466919E-1,9.915806770E0,1.014471173E0
8.089953120E-1,-1.411142498E-1,9.992383003E0,1.036009431E0
8.139578120E-1,-5.019204319E-2,9.846412659E0,1.112575889E0
8.189218750E-1,1.202846877E-2,9.980412483E0,1.162825465E0
8.238843750E-1,6.945100427E-2,9.901451111E0,1.289651155E0
8.288484370E-1,-1.908657700E-2,9.908634186E0,1.452361107E0
8.338109370E-1,2.638410218E-2,9.867951393E0,1.488254905E0
8.387734370E-1,-2.625960298E-2,9.882307053E0,1.572004199E0
8.437359370E-1,5.746084207E-5,9.896661758E0,1.543292880E0
8.487000000E-1,-9.086474776E-2,9.793779373E0,1.528927565E0
8.536625000E-1,-1.889695525E-1,9.791384697E0,1.572004199E0
8.586265620E-1,-1.913637519E-1,9.808135033E0,1.512177706E0
8.635890620E-1,-1.387200505E-1,9.788990021E0,1.485860705E0
8.685531250E-1,-1.315470189E-1,9.879913330E0,1.411678791E0
8.735171870E-1,-1.985463500E-1,9.863162994E0,1.349467874E0
8.784781250E-1,-2.655456960E-1,9.786596298E0,1.258545637E0
8.834421870E-1,-3.516891003E-1,9.719596863E0,1.150864005E0
8.884046870E-1,-3.229682446E-1,9.707635880E0,1.093441486E0
8.933671870E-1,-3.349392414E-1,9.695664406E0,9.307219982E-1
8.983312500E-1,-2.775071263E-1,9.755491257E0,9.259431362E-1
9.032937500E-1,-2.464016527E-1,9.760279655E0,8.948376179E-1
9.082578120E-1,-2.846897244E-1,9.750701904E0,8.374055624E-1
9.132203120E-1,-3.181893826E-1,9.717203140E0,8.852608800E-1
9.181843750E-1,-3.373238444E-1,9.714808464E0,9.355103970E-1
9.231468750E-1,-4.354382753E-1,9.779414177E0,8.517611623E-1
9.281093750E-1,-4.665437341E-1,9.767452240E0,7.871560454E-1
9.330734370E-1,-5.167931914E-1,9.743529320E0,6.890512705E-1
9.380359370E-1,-4.569669068E-1,9.803345680E0,6.292344928E-1
