"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.623109370E-1,2.378011048E-1,-7.193199992E-1,-1.129926145E-1
3.672734370E-1,2.378011048E-1,-7.193199992E-1,-1.129926145E-1
3.722375000E-1,2.254267186E-1,-7.179237604E-1,-1.226617396E-1
3.772000000E-1,2.254267186E-1,-7.179237604E-1,-1.226617396E-1
3.821625000E-1,2.061233819E-1,-7.164751291E-1,-1.401673853E-1
3.871265620E-1,2.061233819E-1,-7.164751291E-1,-1.401673853E-1
3.920890620E-1,1.843765825E-1,-7.228455544E-1,-1.599768847E-1
3.970531250E-1,1.843765825E-1,-7.228455544E-1,-1.599768847E-1
4.020156250E-1,1.713913381E-1,-7.484495640E-1,-1.849176288E-1
4.069796870E-1,1.713913381E-1,-7.484495640E-1,-1.849176288E-1
4.119421870E-1,1.575159580E-1,-7.232120633E-1,-1.898045540E-1
4.169046870E-1,1.575159580E-1,-7.232120633E-1,-1.898045540E-1
4.218687500E-1,1.397834122E-1,-6.782349348E-1,-1.766796857E-1
4.268312500E-1,1.397834122E-1,-6.782349348E-1,-1.766796857E-1
4.317953120E-1,1.251750141E-1,-6.133785248E-1,-1.496968865E-1
4.367593750E-1,1.251750141E-1,-6.133785248E-1,-1.496968865E-1
4.417218750E-1,1.154709831E-1,-5.888915658E-1,-1.320341527E-1
4.466843750E-1,1.154709831E-1,-5.888915658E-1,-1.320341527E-1
4.516468750E-1,1.129751652E-1,-5.523617864E-1,-1.149648353E-1
4.566109370E-1,1.129751652E-1,-5.523617864E-1,-1.149648353E-1
4.615734370E-1,1.127657220E-1,-5.329537392E-1,-1.018748656E-1
4.665375000E-1,1.127657220E-1,-5.329537392E-1,-1.018748656E-1
4.715000000E-1,1.051909924E-1,-4.787088931E-1,-8.646360785E-2
4.764640620E-1,1.051909924E-1,-4.787088931E-1,-8.646360785E-2
4.814265620E-1,9.063494951E-2,-3.997153044E-1,-5.160938576E-2
4.863890620E-1,9.063494951E-2,-3.997153044E-1,-5.160938576E-2
4.913531250E-1,7.712610066E-2,-3.106162548E-1,-4.031710327E-3
4.963156250E-1,7.712610066E-2,-3.106162548E-1,-4.031710327E-3
5.012796870E-1,6.277949363E-2,-2.437526882E-1,3.316125646E-2
5.062421870E-1,6.277949363E-2,-2.437526882E-1,3.316125646E-2
5.112062500E-1,5.291838199E-2,-1.968033314E-1,4.963716492E-2
5.161687500E-1,5.291838199E-2,-1.968033314E-1,4.963716492E-2
5.211312500E-1,4.756022245E-2,-1.457000822E-1,5.686282739E-2
5.260953120E-1,4.756022245E-2,-1.457000822E-1,5.686282739E-2
5.310578120E-1,4.356341809E-2,-9.445721656E-2,5.733406544E-2
5.360218750E-1,4.356341809E-2,-9.445721656E-2,5.733406544E-2
5.409843750E-1,4.091051593E-2,-8.150687441E-3,5.890486389E-2
5.459484370E-1,4.091051593E-2,-8.150687441E-3,5.890486389E-2
5.509109370E-1,4.157374427E-2,6.895796210E-2,5.976007506E-2
5.558734370E-1,4.157374427E-2,6.895796210E-2,5.976007506E-2
5.608375000E-1,4.841543362E-2,8.477064222E-2,5.639158934E-2
5.658000000E-1,4.841543362E-2,8.477064222E-2,5.639158934E-2
5.707640620E-1,5.682792142E-2,3.403392062E-2,4.735078290E-2
5.757265620E-1,5.682792142E-2,3.403392062E-2,4.735078290E-2
5.806906250E-1,6.274458766E-2,2.823942713E-2,4.326671362E-2
5.856531250E-1,6.274458766E-2,2.823942713E-2,4.326671362E-2
5.906156250E-1,6.162757427E-2,2.471386269E-2,3.961897269E-2
5.955796870E-1,6.162757427E-2,2.471386269E-2,3.961897269E-2
6.005421870E-1,5.757841095E-2,2.796017379E-2,3.773401678E-2
6.055062500E-1,5.757841095E-2,2.796017379E-2,3.773401678E-2
6.104687500E-1,5.030038953E-2,2.022836544E-2,3.677408770E-2
6.154312500E-1,5.030038953E-2,2.022836544E-2,3.677408770E-2
6.203953120E-1,3.960151970E-2,4.625122529E-3,3.899065405E-2
6.253578120E-1,3.960151970E-2,4.625122529E-3,3.899065405E-2
6.303218750E-1,3.007202223E-2,2.087413706E-2,4.745550081E-2
6.352843750E-1,3.007202223E-2,2.087413706E-2,4.745550081E-2
6.402468750E-1,2.436479554E-2,3.059562109E-2,5.588544160E-2
6.452109370E-1,2.436479554E-2,3.059562109E-2,5.588544160E-2
6.501734370E-1,1.954768784E-2,4.553563893E-2,6.806784123E-2
6.551375000E-1,1.954768784E-2,4.553563893E-2,6.806784123E-2
6.601000000E-1,4.031710327E-3,9.080947936E-2,8.384561539E-2
6.650625000E-1,4.031710327E-3,9.080947936E-2,8.384561539E-2
6.700265620E-1,-2.162462845E-2,1.562767774E-1,1.023286507E-1
6.749890620E-1,-2.162462845E-2,1.562767774E-1,1.023286507E-1
6.799531250E-1,-5.141739920E-2,2.425134927E-1,1.213178337E-1
6.849156250E-1,-5.141739920E-2,2.425134927E-1,1.213178337E-1
6.898796870E-1,-7.946483791E-2,3.262369335E-1,1.366767287E-1
6.948406250E-1,-7.946483791E-2,3.262369335E-1,1.366767287E-1
6.998046870E-1,-9.822712839E-2,3.931005001E-1,1.469043642E-1
7.047671870E-1,-9.822712839E-2,3.931005001E-1,1.469043642E-1
7.097312500E-1,-1.082104146E-1,4.458967149E-1,1.515993029E-1
7.146953120E-1,-1.082104146E-1,4.458967149E-1,1.515993029E-1
7.196578120E-1,-1.071632132E-1,4.745724797E-1,1.493652761E-1
7.246218750E-1,-1.071632132E-1,4.745724797E-1,1.493652761E-1
7.295843750E-1,-9.920451790E-2,4.655665755E-1,1.399579495E-1
7.345484370E-1,-9.920451790E-2,4.655665755E-1,1.399579495E-1
7.395093750E-1,-8.410741389E-2,4.621457458E-1,1.276882887E-1
7.444734370E-1,-8.410741389E-2,4.621457458E-1,1.276882887E-1
7.494359370E-1,-7.044149190E-2,4.142364562E-1,1.117359772E-1
7.544000000E-1,-7.044149190E-2,4.142364562E-1,1.117359772E-1
7.593625000E-1,-5.906194076E-2,3.652974069E-1,9.941395372E-2
7.643265620E-1,-5.906194076E-2,3.652974069E-1,9.941395372E-2
7.692906250E-1,-5.223770440E-2,2.980673313E-1,7.918559015E-2
7.742531250E-1,-5.223770440E-2,2.980673313E-1,7.918559015E-2
7.792156250E-1,-3.618067503E-2,2.375567704E-1,4.961971194E-2
