"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.407484583E-1,-5.096902605E-3,3.195862100E-2,8.891501464E-3
8.507584584E-1,-1.364618167E-2,1.592186466E-2,1.313551515E-2
8.607684583E-1,-2.221239731E-2,9.490627795E-3,1.732191630E-2
8.708064583E-1,-1.691190526E-2,1.059208903E-2,1.950628124E-2
8.808154584E-1,-7.340237964E-3,2.558222599E-2,1.955395192E-2
8.908254583E-1,-9.484088048E-3,4.049887508E-2,1.624501310E-2
9.008034584E-1,-9.520845488E-3,4.476900771E-2,1.730592735E-2
9.108434584E-1,4.304822069E-3,4.378812015E-2,2.177341469E-2
9.208534583E-1,1.283812243E-2,4.703424871E-2,2.186609246E-2
9.308324584E-1,1.392258052E-2,5.129603669E-2,1.866226457E-2
9.408704584E-1,9.679899551E-3,5.446386710E-2,1.538737584E-2
9.508804583E-1,1.079069544E-2,5.018959939E-2,1.221130323E-2
9.608824584E-1,1.402430143E-2,5.232988298E-2,9.025745094E-3
9.708984583E-1,9.765638970E-3,5.230378360E-2,7.903222926E-3
9.809084584E-1,1.507981308E-2,4.381040856E-2,1.227528881E-2
9.909164584E-1,1.403944567E-2,3.954460472E-2,1.333356183E-2
1.000926458E0,9.772796184E-3,3.312319517E-2,1.437938493E-2
1.010936458E0,1.078075264E-2,2.457700297E-2,1.657059416E-2
1.020913458E0,1.184724737E-2,1.499127503E-2,1.983850636E-2
1.030953458E0,-4.174329806E-3,3.197026253E-2,1.634497195E-2
1.040963458E0,-1.695875265E-2,4.682514071E-2,1.076773647E-2
1.050941458E0,-1.480010524E-2,3.617012128E-2,1.191813406E-2
1.060950458E0,-2.116402052E-2,1.906255819E-2,1.192148309E-2
1.070960458E0,-2.540137619E-2,1.049943361E-2,1.084157173E-2
1.080999458E0,-2.325754240E-2,1.690091565E-2,7.628432475E-3
1.090977458E0,-6.170966662E-3,2.018805221E-2,6.761573721E-3
1.100987458E0,1.620002836E-2,3.311415017E-2,8.049616590E-3
1.111022458E0,2.257670090E-2,4.488611966E-2,8.072520606E-3
1.121006458E0,6.569928955E-3,4.266860336E-2,7.882596925E-3
1.131016458E0,-9.414558299E-3,3.191391751E-2,7.736690342E-3
1.141024458E0,-1.580942608E-2,2.334734611E-2,8.770063519E-3
1.151033458E0,-1.371016540E-2,1.910520345E-2,1.309525408E-2
1.161043458E0,-9.422210045E-3,7.392891217E-3,1.427636668E-2
1.171082458E0,1.631733030E-4,5.315926392E-3,1.654548198E-2
1.181060458E0,1.508534234E-2,2.246010117E-2,1.451475266E-2
1.191070458E0,2.467911132E-2,4.063966870E-2,1.134318206E-2
1.201101458E0,2.570983022E-2,4.598850757E-2,1.346735843E-2
1.211118458E0,1.608343795E-2,4.914375395E-2,1.440004166E-2
1.221128458E0,4.314080812E-3,5.015700310E-2,1.638606191E-2
1.231123458E0,-2.127896063E-3,4.480259120E-2,2.060680278E-2
1.241146458E0,2.131385729E-3,3.416467831E-2,2.392305806E-2
1.251156458E0,5.326471291E-3,3.205073252E-2,2.504672296E-2
1.261152458E0,-1.102038193E-3,3.735697269E-2,2.600982040E-2
1.271143458E0,-5.340620875E-3,2.452911809E-2,2.602604590E-2
1.281153458E0,1.285604388E-2,1.394479349E-2,2.418142371E-2
