"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,5.222218788E1,2.100665771E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.980000000E2,6.980000000E2
1.372509003E-1,5.222207703E1,2.100701820E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.541503906E0,5.222214528E1,2.100706103E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.296012795E1,5.222219847E1,2.100696149E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.938073397E1,5.222212563E1,2.100689781E1,1.070549011E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.579940593E1,5.222209376E1,2.100701568E1,1.070265579E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.221744692E1,5.222210198E1,2.100704261E1,1.070017548E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
