"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.903514583E-1,-1.375489655E0,9.811646576E0,2.450404358E-1
8.003964583E-1,-1.405577087E0,9.809401245E0,2.290237427E-1
8.104334583E-1,-1.385069733E0,9.847122803E0,2.216889954E-1
8.205194583E-1,-1.374890900E0,9.796977081E0,2.201921082E-1
8.305734583E-1,-1.371597748E0,9.792486420E0,2.329156494E-1
8.406234583E-1,-1.362167358E0,9.803713074E0,2.553689575E-1
8.506524583E-1,-1.337169342E0,9.827214203E0,3.046165466E-1
8.607384583E-1,-1.373244324E0,9.817783813E0,2.957849121E-1
8.707864583E-1,-1.387015686E0,9.820178833E0,2.510279846E-1
8.808474583E-1,-1.426234131E0,9.792935486E0,2.025288391E-1
8.908714583E-1,-1.346450043E0,9.793683929E0,1.332229614E-1
9.009434583E-1,-1.351988525E0,9.759704590E0,9.175918579E-2
9.110094583E-1,-1.366658020E0,9.747879181E0,1.016386414E-1
9.210324583E-1,-1.335522766E0,9.782606964E0,1.615141296E-1
9.311104583E-1,-1.334175568E0,9.766739960E0,2.302212524E-1
9.411714583E-1,-1.348096619E0,9.768835602E0,2.998265076E-1
9.512254583E-1,-1.346150665E0,9.832004242E0,3.408412170E-1
9.612764583E-1,-1.372944946E0,9.789492645E0,2.628533936E-1
9.713364583E-1,-1.386716309E0,9.763147430E0,1.794767761E-1
9.813904583E-1,-1.375789032E0,9.799072723E0,1.381626892E-1
9.914424583E-1,-1.373843079E0,9.797126770E0,1.073268127E-1
1.001471458E0,-1.358724518E0,9.829010468E0,9.415420532E-2
1.011557458E0,-1.417851562E0,9.846524048E0,1.462458801E-1
1.021608458E0,-1.436712341E0,9.885443115E0,1.618135071E-1
1.031668458E0,-1.440005493E0,9.885293427E0,2.324665833E-1
1.041724458E0,-1.398841095E0,9.871372375E0,2.679428101E-1
1.051768458E0,-1.384321289E0,9.873917084E0,2.637515259E-1
1.061803458E0,-1.340462494E0,9.865235138E0,2.706372070E-1
1.071889458E0,-1.288071442E0,9.834848328E0,2.574645996E-1
1.081923458E0,-1.271156616E0,9.844578094E0,2.763253784E-1
1.091968458E0,-1.307830353E0,9.812694397E0,2.594105530E-1
1.102022458E0,-1.326990509E0,9.792037354E0,2.287243652E-1
1.112090458E0,-1.378184052E0,9.771380310E0,2.351609802E-1
1.122131458E0,-1.350341949E0,9.769584045E0,2.224374390E-1
1.132209458E0,-1.389261017E0,9.738897858E0,1.989363098E-1
1.142257458E0,-1.400038605E0,9.719737701E0,1.908531189E-1
1.152327458E0,-1.403930511E0,9.729317780E0,1.305285645E-1
1.162352458E0,-1.362317047E0,9.679770813E0,9.565109253E-2
1.172421458E0,-1.328936462E0,9.706714783E0,1.161584473E-1
