"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.871078130E-1,-3.205740452E-1,9.721991539E0,1.093441486E0
3.920703130E-1,-3.325450420E-1,9.772240639E0,1.100614548E0
3.970328130E-1,-2.846897244E-1,9.745914459E0,1.038403511E0
4.019968750E-1,-3.325450420E-1,9.731558800E0,1.081470490E0
4.069593750E-1,-3.540737033E-1,9.822490692E0,1.227440238E0
4.119234380E-1,-4.043232203E-1,9.765057564E0,1.186757922E0
4.168859380E-1,-4.856877327E-1,9.781807899E0,1.198719382E0
4.218484380E-1,-4.497938752E-1,9.796163559E0,1.079076290E0
4.268125000E-1,-5.143990517E-1,9.803345680E0,1.093441486E0
4.317750000E-1,-4.641495049E-1,9.800951958E0,1.021653771E0
4.367390630E-1,-5.359276533E-1,9.798557281E0,9.546543956E-1
4.417031250E-1,-5.718215108E-1,9.865556717E0,9.331161380E-1
4.466656250E-1,-5.598601103E-1,9.827268600E0,9.881540537E-1
4.516281250E-1,-5.694273710E-1,9.863162994E0,1.136508465E0
4.565906250E-1,-5.407160521E-1,9.846412659E0,1.241795778E0
4.615546880E-1,-4.808993638E-1,9.911018372E0,1.323150754E0
4.665171880E-1,-4.593611062E-1,9.879913330E0,1.433217049E0
4.714812500E-1,-3.732177317E-1,9.882307053E0,1.421255589E0
4.764437500E-1,-4.234672487E-1,9.844018936E0,1.368611932E0
4.814078130E-1,-3.516891003E-1,9.829663277E0,1.359044671E0
4.863703130E-1,-3.804003298E-1,9.901451111E0,1.363823533E0
4.913343750E-1,-3.492948711E-1,9.867951393E0,1.306401014E0
4.962968750E-1,-2.799013257E-1,9.863162994E0,1.222651720E0
5.012593750E-1,-2.607572973E-1,9.855990410E0,1.196325064E0
5.062234380E-1,-2.775071263E-1,9.901451111E0,1.134114146E0
5.111859380E-1,-1.171913818E-1,9.855990410E0,1.155652523E0
5.161500000E-1,-4.779784381E-2,9.781807899E0,1.136508465E0
5.211125000E-1,-7.650911063E-2,9.834450722E0,1.162825465E0
5.260750000E-1,-1.459026486E-1,9.911018372E0,1.251363039E0
5.310390630E-1,-1.817965209E-1,9.865556717E0,1.263324499E0
5.360015630E-1,-2.368248552E-1,9.903844833E0,1.229824781E0
5.409640630E-1,-2.487958670E-1,9.915806770E0,1.170008063E0
5.459281250E-1,-2.966511548E-1,9.932557106E0,1.083864689E0
5.508906250E-1,-3.253624141E-1,9.858384132E0,1.031220913E0
5.558546880E-1,-3.780061305E-1,9.915806770E0,9.929425120E-1
5.608171880E-1,-4.330440462E-1,9.887095451E0,9.977213144E-1
5.657812500E-1,-4.689379334E-1,9.827268600E0,8.972222805E-1
5.707437500E-1,-5.478987098E-1,9.820096016E0,8.493670225E-1
5.757062500E-1,-5.646485090E-1,9.774634361E0,8.110885024E-1
5.806703130E-1,-5.933598280E-1,9.779414177E0,8.972222805E-1
5.856343750E-1,-6.292536855E-1,9.810519218E0,8.996165395E-1
5.905968750E-1,-5.574659705E-1,9.717203140E0,9.618370533E-1
5.955609380E-1,-5.096106529E-1,9.753096581E0,9.474717975E-1
6.005218750E-1,-3.947559893E-1,9.777029037E0,9.809715152E-1
6.054859380E-1,-3.899675608E-1,9.721991539E0,9.714042544E-1
6.104484380E-1,-2.081135809E-1,9.726778984E0,1.103008628E0
6.154125000E-1,-1.746139228E-1,9.745914459E0,1.335112214E0
6.203765630E-1,-3.827945590E-1,9.707635880E0,1.842395663E0
6.253390630E-1,-4.641495049E-1,1.000913239E1,2.172604084E0
6.303015630E-1,-9.762117863E-1,1.026755238E1,3.306794643E0
6.352656250E-1,-7.172070444E-2,1.024840927E1,2.486062527E0
6.402296880E-1,3.446213901E-1,1.010962200E1,2.246776342E0
6.451921880E-1,2.877830528E-2,1.010484314E1,2.464524269E0
6.501546880E-1,-2.865380608E-2,9.870346069E0,3.010086298E0
