"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.222225490E1,2.100696490E1,0.000000000E0,0.000000000E0,0.000000000E0,2.242600060E1,0.000000000E0
1.746730185E0,5.222225490E1,2.100696490E1,0.000000000E0,0.000000000E0,0.000000000E0,2.242600060E1,0.000000000E0
1.178545362E1,5.222225490E1,2.100696490E1,0.000000000E0,0.000000000E0,0.000000000E0,2.242600060E1,0.000000000E0
2.174466977E1,5.222225490E1,2.100696490E1,0.000000000E0,0.000000000E0,0.000000000E0,2.242600060E1,0.000000000E0
