"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.345296880E-1,2.759999968E-2,5.934999585E-1,3.564999998E-1
7.444546880E-1,5.909999833E-2,4.338999987E-1,2.443999946E-1
7.543812500E-1,1.850000024E-1,3.023000062E-1,1.899999916E-3
7.643062500E-1,1.840000004E-1,1.735000014E-1,-9.380000085E-2
7.742343750E-1,1.700999886E-1,1.477999985E-1,6.439999491E-2
7.841609380E-1,1.920000017E-1,1.256999969E-1,2.830999792E-1
7.940875000E-1,1.635999978E-1,-1.899999916E-3,2.791000009E-1
8.040125000E-1,1.793999970E-1,2.009999938E-2,9.719999880E-2
8.139390630E-1,2.208999991E-1,6.689999998E-2,-1.943999976E-1
8.238640630E-1,6.729999930E-2,5.449999869E-2,-2.719999850E-1
8.337906250E-1,-4.729999974E-2,7.970000058E-2,-2.275999933E-1
8.437171880E-1,-2.789999917E-2,4.289999977E-2,-1.758999974E-1
8.536453130E-1,-2.080000006E-2,-2.209999971E-2,-1.665999889E-1
8.635718750E-1,1.150000002E-2,-3.409999982E-2,-1.887999922E-1
8.734968750E-1,5.700000003E-2,6.570000201E-2,-1.211999953E-1
8.834234380E-1,2.759999968E-2,5.040000007E-2,-6.430000067E-2
8.933484380E-1,7.799999788E-3,5.299999844E-3,-8.429999650E-2
9.032765630E-1,3.260000050E-2,8.219999820E-2,2.609999850E-2
9.132031250E-1,-7.360000163E-2,1.022999957E-1,7.449999452E-2
9.231281250E-1,-1.715999991E-1,1.013999954E-1,6.179999933E-2
9.330546880E-1,-5.350000039E-2,1.296000034E-1,2.699999837E-3
9.429812500E-1,-1.500000013E-3,1.499999911E-1,-3.700000001E-3
9.529062500E-1,-3.399999812E-3,1.336999983E-1,1.687999964E-1
9.628328130E-1,8.129999787E-2,1.486999989E-1,1.924999952E-1
9.727609380E-1,1.191999987E-1,5.900000036E-2,1.771999896E-1
9.826859380E-1,1.182999983E-1,1.682000011E-1,1.603000015E-1
9.926125000E-1,1.471000016E-1,1.647000015E-1,2.044999897E-1
1.002540625E0,1.371999979E-1,1.884000003E-1,1.920999885E-1
1.012465625E0,1.013000011E-1,1.645999998E-1,2.198999971E-1
1.022392188E0,9.999999776E-3,2.301999927E-1,2.629999816E-1
1.032318750E0,1.009999961E-2,2.935000062E-1,1.473999918E-1
1.042243750E0,-8.069999516E-2,3.446999788E-1,-1.819999889E-2
1.052170313E0,-8.379999548E-2,3.919000030E-1,-4.039999843E-2
