"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.506610000E-1,3.206541529E-3,1.311518811E-2,-1.355129760E-2
8.606710000E-1,-1.049455488E-3,1.202195697E-2,-1.466849353E-2
8.706820000E-1,-5.346588790E-3,1.200712658E-2,-1.259644702E-2
8.806870000E-1,-3.274722258E-3,2.483117580E-2,-1.050492283E-2
8.906970000E-1,3.096624976E-3,2.914070338E-2,-8.308348246E-3
9.007050000E-1,9.401643649E-3,2.067461610E-2,2.489737934E-3
9.106880000E-1,8.297010325E-3,1.641545817E-2,6.761436816E-3
9.206980000E-1,8.290351368E-3,1.428492740E-2,7.840283215E-3
9.307260000E-1,1.468833070E-2,7.923167199E-3,1.009012200E-2
9.407330000E-1,1.688180678E-2,7.920051925E-3,5.844600964E-3
9.507430000E-1,9.441455826E-3,1.853767969E-2,1.429099240E-3
9.607490000E-1,4.144740757E-3,2.489804104E-2,-2.938101068E-3
9.707250000E-1,9.500226006E-3,2.385546826E-2,-3.921595868E-3
9.807350000E-1,1.486950275E-2,2.280902863E-2,-5.982917733E-3
9.907410000E-1,8.473655209E-3,1.424240321E-2,-4.951501731E-3
1.000775000E0,5.239831749E-3,1.530028787E-2,-2.857918851E-3
1.010785000E0,3.099183086E-3,1.742336154E-2,-2.895735670E-3
1.020794000E0,-2.166490594E-4,2.487170510E-2,-6.177896634E-3
1.030801000E0,-6.615881342E-3,3.230097890E-2,-8.434976451E-3
1.040811000E0,-2.323687309E-3,2.378636226E-2,-8.340131491E-3
1.050786000E0,9.433917701E-3,1.744518802E-2,-8.162502199E-3
1.060793000E0,1.477032434E-2,1.214123238E-2,-7.004586048E-3
1.070803000E0,2.546424605E-2,4.624692083E-4,-5.741981789E-3
1.080824000E0,2.759424411E-2,2.607916016E-3,-5.725470372E-3
1.090816000E0,2.972920984E-2,-5.781030632E-4,-4.614146426E-3
1.100826000E0,2.333771624E-2,4.716671072E-3,-6.859208923E-3
1.110832000E0,7.274033036E-3,1.637889445E-2,-4.988886882E-3
1.120839000E0,1.854206785E-3,2.597382478E-2,2.298805630E-4
1.130849000E0,6.848889752E-4,3.666184470E-2,6.569576915E-3
1.140885000E0,7.062725723E-3,3.670294955E-2,8.788036183E-3
1.150891000E0,1.030449755E-2,3.457437828E-2,5.636638962E-3
1.160901000E0,1.033246145E-2,2.816787735E-2,4.600402899E-3
1.170907000E0,1.891548000E-2,2.073545009E-2,2.611871110E-3
1.180887000E0,2.638019435E-2,1.118185371E-2,5.957310554E-3
1.190897000E0,1.888257265E-2,9.019826539E-3,9.075540118E-3
1.200900000E0,1.031598542E-2,4.717756994E-3,1.219276991E-2
1.210919000E0,1.139939576E-2,-1.679118490E-3,1.223817188E-2
1.220929000E0,1.356485765E-2,4.552238679E-4,9.052627720E-3
1.230952000E0,5.082155112E-3,5.723753013E-3,2.508175559E-3
1.240938000E0,8.468478918E-4,9.955312125E-3,-1.836313168E-3
1.250948000E0,7.263072766E-3,9.985201992E-3,-2.819986781E-3
1.260945000E0,1.581032388E-2,1.322783437E-2,-3.795113182E-3
1.270954000E0,1.043293811E-2,2.067739330E-2,-1.766785746E-3
1.280964000E0,4.064254463E-3,1.530074142E-2,-3.958034329E-3
1.290967000E0,6.210765336E-3,6.778783631E-3,-2.824998694E-3
1.300977000E0,7.229707669E-3,9.996958077E-3,3.728998709E-4
1.310987000E0,1.358640660E-2,1.537734270E-2,3.632342676E-3
1.320991000E0,1.778619923E-2,2.181739733E-2,7.925412618E-3
1.331027000E0,1.663092151E-2,2.290513739E-2,1.537962351E-2
1.341037000E0,9.142218158E-3,2.073927224E-2,1.742714271E-2
1.351044000E0,-1.526614767E-3,1.535175648E-2,1.838514768E-2
1.361026000E0,-4.707774147E-3,1.746200025E-2,1.619845070E-2
1.371036000E0,2.791154431E-3,2.175847441E-2,1.306763757E-2
1.381066000E0,7.065926213E-3,2.071394585E-2,1.312776189E-2
