"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.444920000E-1,-1.718426514E-1,9.893675995E0,-2.899470520E-1
7.545220000E-1,-2.055226135E-1,9.999505920E0,-1.401086426E-1
7.645950000E-1,-2.143542480E-1,9.863139496E0,-2.243833923E-1
7.746560000E-1,-2.408491516E-1,1.000549347E1,-9.819580078E-2
7.847060000E-1,-1.933978271E-1,9.883646851E0,-5.538482666E-3
7.947980000E-1,-2.064207458E-1,9.985734558E0,-3.218307495E-2
8.048580000E-1,-2.160008240E-1,9.925559692E0,-3.517684937E-2
8.149180000E-1,-2.261796570E-1,9.980196075E0,-7.469467163E-2
8.249740000E-1,-2.266287231E-1,9.956545258E0,-1.188528442E-1
8.350350000E-1,-1.916015625E-1,9.999505920E0,-1.922003174E-1
8.450950000E-1,-1.987866211E-1,9.955647125E0,-1.691482544E-1
8.551550000E-1,-1.809736633E-1,9.915829926E0,-1.254391479E-1
8.652130000E-1,-2.095642090E-1,9.893675995E0,-9.535171509E-2
8.752730000E-1,-1.595681763E-1,9.835147705E0,-9.490264893E-2
8.853060000E-1,-1.610650635E-1,9.811646576E0,-9.520202637E-2
8.953960000E-1,-1.862127686E-1,9.846973114E0,-1.219963074E-1
9.054550000E-1,-1.927990723E-1,9.832453308E0,-1.305285645E-1
9.155160000E-1,-1.854643250E-1,9.806257782E0,-1.689985657E-1
9.255760000E-1,-1.836680603E-1,9.835297394E0,-1.685494995E-1
9.356400000E-1,-1.727407837E-1,9.890233154E0,-1.592687988E-1
9.457010000E-1,-2.019300842E-1,9.887987823E0,-1.522334290E-1
9.557620000E-1,-2.151026917E-1,9.939480743E0,-1.151106262E-1
9.658230000E-1,-1.919009399E-1,9.918075256E0,-8.008346558E-2
9.758850000E-1,-1.477427673E-1,9.892179108E0,-5.897735596E-2
9.859450000E-1,-1.619631958E-1,9.911638641E0,-8.143066406E-2
9.960080000E-1,-1.675016785E-1,9.945617981E0,-9.310638428E-2
1.006039000E0,-2.215393066E-1,9.968071289E0,-1.175056458E-1
1.016122000E0,-2.573149109E-1,9.995164948E0,-1.074765015E-1
1.026188000E0,-2.490820312E-1,9.972412262E0,-7.963439941E-2
1.036218000E0,-2.427951050E-1,9.953252106E0,-6.631210327E-2
1.046302000E0,-2.502795410E-1,9.999805298E0,-1.070274353E-1
1.056350000E0,-2.547702026E-1,9.977801056E0,-1.219963074E-1
1.066427000E0,-2.333647156E-1,9.950108643E0,-1.196012878E-1
1.076476000E0,-2.278262329E-1,9.920769653E0,-1.380130005E-1
1.086548000E0,-2.050735474E-1,9.911488953E0,-1.731898499E-1
1.096608000E0,-1.769320679E-1,9.910590820E0,-1.851649475E-1
1.106657000E0,-1.767823792E-1,9.889335022E0,-1.752854919E-1
1.116728000E0,-1.466949463E-1,9.903256073E0,-1.419049072E-1
1.126785000E0,-1.926493835E-1,9.866133270E0,-1.517843628E-1
1.136840000E0,-1.926493835E-1,9.898915100E0,-1.368154907E-1
1.146904000E0,-1.866618347E-1,9.877060547E0,-1.124162292E-1
1.156963000E0,-2.065704346E-1,9.886940002E0,-1.299298096E-1
1.167016000E0,-2.034269714E-1,9.879006500E0,-1.377136230E-1
1.177049000E0,-2.296224976E-1,9.902507629E0,-1.519340515E-1
1.187140000E0,-2.354603577E-1,9.974358215E0,-1.386117554E-1
1.197197000E0,-2.597099304E-1,9.976304169E0,-9.879455566E-2
1.207261000E0,-2.775228882E-1,1.000100281E1,-9.145980835E-2
