"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,5.222024298E1,2.101397397E1,1.070017548E2,-1.000000000E0,-1.000000000E0,1.650000000E2,1.650000000E2
3.930590153E-1,5.222024093E1,2.101398102E1,1.070017548E2,-1.000000000E0,-1.000000000E0,1.650000000E2,1.650000000E2
6.288820505E-1,5.222101655E1,2.100989592E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.053239942E0,5.222103359E1,2.100987570E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.347336197E1,5.222108911E1,2.101012878E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.993867302E1,5.222106066E1,2.100998533E1,1.068199997E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
