"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.405550000E-1,3.462291019E-2,2.774189768E-2,1.990656018E-2
7.505800000E-1,7.025315403E-3,3.956049780E-2,-6.165255648E-3
7.605970000E-1,1.363767227E-4,2.505903297E-2,-1.265805016E-2
7.706070000E-1,7.529010776E-3,-1.103334976E-3,-4.849340336E-2
7.805850000E-1,9.648691546E-3,2.796005821E-2,-4.663543231E-2
7.906200000E-1,2.067565862E-2,8.289699957E-2,-3.741800261E-2
8.006300000E-1,-7.551194222E-3,8.066140803E-2,-3.113271859E-2
8.106210000E-1,-1.960869251E-2,1.321648255E-1,5.041742282E-3
8.206410000E-1,4.057811775E-3,1.107550353E-1,3.895539321E-2
8.306510000E-1,4.805844817E-3,1.107756741E-1,3.942134321E-2
8.406450000E-1,3.492340226E-2,1.043410691E-1,3.794299807E-2
8.506610000E-1,2.984209648E-2,1.383258357E-1,2.595738228E-2
8.606710000E-1,3.131992542E-2,1.383553550E-1,2.593026581E-2
8.706820000E-1,-5.595085541E-2,1.879455178E-1,1.084262103E-2
8.806870000E-1,-4.563992101E-2,1.652198208E-1,3.736040754E-2
8.906970000E-1,-4.480362756E-2,1.652396648E-1,3.756626379E-2
9.007050000E-1,-4.495919090E-2,1.926605663E-1,1.068239933E-2
9.106880000E-1,-4.889118761E-2,1.706800422E-1,-3.289910477E-3
9.206980000E-1,-4.972972859E-2,1.706714541E-1,-2.550146905E-3
9.307260000E-1,-2.927166634E-2,1.429758979E-1,1.201693180E-3
9.407330000E-1,-1.689454748E-3,1.043784182E-1,-4.942430750E-2
9.507430000E-1,2.551692705E-2,1.034944471E-1,-5.877230598E-2
9.607490000E-1,2.512808721E-2,8.224967625E-2,-4.718719477E-2
9.707250000E-1,5.409575315E-2,9.616318071E-2,-1.262983506E-2
9.807350000E-1,8.470737976E-3,5.907348784E-2,-2.052462230E-2
9.907410000E-1,8.675030212E-3,9.187516166E-2,-4.391158456E-3
1.000775000E0,1.453077972E-2,7.001902329E-2,2.009084569E-2
1.010785000E0,1.474013859E-2,7.002857527E-2,2.047918760E-2
1.020794000E0,-4.700855890E-3,7.991943290E-2,3.097239296E-3
1.030801000E0,-2.642454283E-2,9.551474277E-2,-1.888845258E-2
1.040811000E0,-3.076375928E-2,1.673930664E-1,-5.819798264E-3
1.050786000E0,-5.297393285E-2,1.693798041E-1,3.385092698E-2
1.060793000E0,-6.850228753E-2,1.941301178E-1,4.142498758E-2
1.070803000E0,-6.793724093E-2,1.941728025E-1,4.366659993E-2
1.080824000E0,-2.920838621E-2,1.602424699E-1,5.965276418E-2
1.090816000E0,-1.915051206E-3,1.130089907E-1,-4.514191182E-2
1.100826000E0,-7.463713823E-3,5.859473792E-2,-4.727075970E-2
1.110832000E0,-4.939515365E-2,9.445061347E-2,-5.832072734E-2
1.120839000E0,-8.425043813E-2,1.133781784E-1,-3.218954572E-2
1.130849000E0,-3.846172376E-2,1.467506502E-1,3.886599933E-2
1.140885000E0,3.503801796E-3,1.521059688E-1,5.306521337E-2
1.150891000E0,1.918417780E-2,1.724405657E-1,3.117068895E-2
1.160901000E0,1.863670254E-2,1.724449694E-1,3.224755878E-2
1.170907000E0,2.157016384E-2,1.326281900E-1,1.193146624E-2
1.180887000E0,-3.009166296E-2,1.177162460E-1,-3.936686360E-2
