"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.222146310E1,2.100729410E1,0.000000000E0,0.000000000E0,0.000000000E0,1.288999939E2,0.000000000E0
1.807749952E0,5.222146310E1,2.100729410E1,0.000000000E0,0.000000000E0,0.000000000E0,1.288999939E2,0.000000000E0
1.082946870E1,5.222146310E1,2.100729410E1,0.000000000E0,0.000000000E0,0.000000000E0,1.288999939E2,0.000000000E0
