"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.246218750E-1,-1.059999969E-2,3.412999809E-1,2.185999900E-1
7.345484380E-1,4.809999838E-2,3.050999939E-1,2.488999963E-1
7.444734380E-1,1.862999946E-1,3.186999857E-1,2.669000030E-1
7.544000000E-1,2.435999960E-1,3.621999919E-1,1.494999975E-1
7.643281250E-1,1.155999973E-1,3.294999897E-1,1.366000026E-1
7.742531250E-1,6.509999931E-2,3.208000064E-1,-3.969999775E-2
7.841796880E-1,-8.479999751E-2,4.443999827E-1,-2.198999971E-1
7.941062500E-1,-1.739999950E-1,3.136999905E-1,-6.099999696E-2
8.040328130E-1,-2.041999996E-1,3.407000005E-1,-4.919999838E-2
8.139593750E-1,-7.849999517E-2,3.592999876E-1,1.503999978E-1
8.238843750E-1,-1.150000002E-2,3.017999828E-1,1.349000037E-1
8.338109380E-1,-6.570000201E-2,3.364000022E-1,1.081999987E-1
8.437375000E-1,-2.129999921E-2,3.497999907E-1,1.083000004E-1
8.536640630E-1,-5.839999765E-2,2.861999869E-1,1.174999997E-1
8.635906250E-1,2.169999853E-2,3.852999806E-1,3.769999743E-2
8.735171880E-1,8.349999785E-2,1.975999922E-1,-9.619999677E-2
8.834421880E-1,2.078000009E-1,1.930999905E-1,-1.491999924E-1
8.933687500E-1,1.906999946E-1,1.764999926E-1,-2.169999927E-1
9.032953130E-1,7.679999620E-2,9.989999980E-2,-2.124999911E-1
9.132218750E-1,1.909999922E-2,1.441999972E-1,-5.199999735E-2
9.231484380E-1,-3.130000085E-2,1.801999956E-1,-4.509999976E-2
9.330750000E-1,-4.129999876E-2,1.398999989E-1,6.399999559E-2
9.430015630E-1,1.599999960E-3,1.301999986E-1,3.429999948E-2
9.529265630E-1,1.339999959E-2,1.002999991E-1,-1.030000001E-1
9.628531250E-1,-7.319999486E-2,1.503999978E-1,1.209999993E-1
9.727796880E-1,-2.210000008E-1,1.250000000E-1,2.233999968E-1
9.827062500E-1,-1.904999912E-1,1.384999901E-1,1.850000024E-1
9.926328130E-1,-1.008999944E-1,8.289999515E-2,3.579999879E-2
1.002557813E0,1.589999907E-2,1.345999986E-1,-1.810999960E-1
1.012484375E0,6.749999523E-2,2.479999885E-2,-2.109999955E-1
1.022410938E0,5.680000037E-2,-7.299999706E-3,1.030000020E-2
1.032337500E0,-8.599999361E-3,-6.780000031E-2,1.174999997E-1
1.042264063E0,3.799999831E-3,-4.899999872E-2,7.469999790E-2
1.052190625E0,4.789999872E-2,-8.609999716E-2,6.430000067E-2
1.062117188E0,3.049999848E-2,-6.480000168E-2,-8.190000057E-2
1.072042188E0,1.599999960E-3,-9.629999846E-2,-1.673000008E-1
1.081968750E0,3.879999742E-2,-8.109999448E-2,-1.788999885E-1
1.091895313E0,6.269999593E-2,-1.837999970E-1,-2.247999907E-1
1.101821875E0,8.039999753E-2,-1.982999891E-1,-1.990000010E-1
1.111748438E0,3.339999914E-2,-1.720999926E-1,-1.648999900E-1
1.121673438E0,-5.899999756E-3,-1.736999899E-1,-5.639999732E-2
1.131601563E0,-6.839999557E-2,-1.645999998E-1,-4.900000058E-3
1.141526563E0,-1.349999942E-2,-1.155999973E-1,4.239999875E-2
1.151453125E0,-6.989999861E-2,-1.840000004E-1,-3.570000082E-2
1.161379688E0,-9.129999578E-2,-7.499999553E-2,7.199999690E-2
1.171306250E0,-1.599999964E-1,-1.420000009E-2,9.969999641E-2
1.181232813E0,-1.079999954E-1,6.700000167E-2,2.276999950E-1
1.191159375E0,-1.899999916E-3,1.788000017E-1,2.784999907E-1
1.201084375E0,7.919999957E-2,2.613999844E-1,1.532000005E-1
1.211012500E0,1.171999946E-1,4.520999789E-1,2.210000008E-1
1.220937500E0,7.209999859E-2,5.066999793E-1,2.381999940E-1
1.230864063E0,6.960000098E-2,5.500000119E-1,1.831000000E-1
1.240789063E0,-5.499999970E-2,6.218000054E-1,1.272999942E-1
1.250717188E0,-4.030000046E-2,5.647000074E-1,-6.089999899E-2
1.260642188E0,-4.930000007E-2,6.031999588E-1,-6.920000166E-2
1.270570313E0,-3.819999844E-2,5.514000058E-1,-5.130000040E-2
1.280495313E0,-7.349999994E-2,5.485999584E-1,-4.259999841E-2
1.290421875E0,1.909999922E-2,5.952000022E-1,5.879999697E-2
1.300348438E0,9.699999355E-3,4.756999910E-1,-5.169999972E-2
1.310275000E0,-3.339999914E-2,5.419999957E-1,-9.179999679E-2
1.320200000E0,-2.719999850E-2,4.318999946E-1,-8.169999719E-2
1.330126563E0,-2.300000051E-3,4.201000035E-1,-3.359999880E-2
1.340053125E0,5.819999799E-2,3.294000030E-1,-1.199999941E-3
1.349979688E0,8.299999870E-3,2.497999966E-1,-8.299999870E-3
1.359906250E0,3.019999899E-2,1.708000004E-1,5.599999800E-3
1.369831250E0,-2.709999867E-2,1.410999894E-1,-3.000000026E-3
1.379757813E0,4.339999706E-2,4.399999976E-2,1.271999925E-1
1.389684375E0,3.099999949E-2,-1.449999958E-2,4.100000020E-3
1.399612500E0,3.000000026E-3,-1.136999950E-1,-1.330000013E-1
1.409539063E0,2.559999935E-2,-8.599999547E-2,-1.493999958E-1
1.419464063E0,-6.179999933E-2,-8.630000055E-2,-1.609999873E-2
1.429390625E0,-4.380000010E-2,-2.769999951E-2,1.244999990E-1
1.439315625E0,-5.909999833E-2,-6.639999896E-2,7.499999553E-2
1.449242188E0,-3.949999809E-2,-7.499999553E-2,-1.869999990E-2
1.459168750E0,-2.979999967E-2,-4.470000044E-2,-1.300999969E-1
1.469095313E0,-3.439999744E-2,6.350000203E-2,-1.299999934E-2
1.479021875E0,7.509999722E-2,1.299999934E-2,-4.799999762E-3
1.488946875E0,6.650000066E-2,7.129999995E-2,8.449999988E-2
1.498873438E0,1.185999960E-1,1.198999956E-1,5.480000004E-2
1.508800000E0,7.090000063E-2,1.894999892E-1,4.749999940E-2
1.518726563E0,2.159999870E-2,2.578999996E-1,1.030000020E-2
1.528654688E0,-6.549999863E-2,3.283999860E-1,1.102999970E-1
1.538581250E0,-7.029999793E-2,3.287000060E-1,1.889999956E-2
1.548506250E0,-8.769999444E-2,3.594999909E-1,5.139999837E-2
1.558431250E0,-2.639999986E-2,3.896999955E-1,2.449999936E-2
1.568357813E0,-6.199999712E-3,4.289000034E-1,-8.379999548E-2
1.578285938E0,-2.679999918E-2,4.755999744E-1,-1.039000005E-1
1.588210938E0,-2.829999849E-2,5.730000138E-1,-8.100000210E-3
1.598137500E0,-5.319999903E-2,5.830000043E-1,1.371999979E-1
1.608064063E0,-1.759999990E-2,6.532999873E-1,2.434999943E-1
1.617990625E0,-3.529999778E-2,6.839999557E-1,3.940000013E-2
1.627915625E0,-5.289999768E-2,6.857999563E-1,-7.400000002E-3
1.637842188E0,-3.460000083E-2,6.976000071E-1,5.089999735E-2
1.647768750E0,-6.379999965E-2,7.760999799E-1,2.529999986E-2
