"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.772015630E-1,-4.497938752E-1,9.918201447E0,6.890512705E-1
3.821640630E-1,-4.856877327E-1,9.987594604E0,6.723014116E-1
3.871265630E-1,-5.096106529E-1,9.982805252E0,7.129837275E-1
3.920890630E-1,-5.000433922E-1,9.956489563E0,6.459843516E-1
3.970531250E-1,-5.407160521E-1,9.918201447E0,6.603399515E-1
4.020156250E-1,-4.785051644E-1,9.949306488E0,6.914454103E-1
4.069796880E-1,-4.306498468E-1,9.920595169E0,6.723014116E-1
4.119437500E-1,-4.115057886E-1,9.899056435E0,6.627342105E-1
4.169062500E-1,-4.282556474E-1,9.889489174E0,6.914454103E-1
4.218687500E-1,-4.306498468E-1,9.858384132E0,6.316191554E-1
4.268328130E-1,-5.096106529E-1,9.887095451E0,6.196576953E-1
4.317953130E-1,-4.904665947E-1,9.870346069E0,5.909464359E-1
4.367578130E-1,-5.120047927E-1,9.889489174E0,4.617361724E-1
4.417218750E-1,-4.713225365E-1,9.853595734E0,3.420931101E-1
4.466859380E-1,-4.856877327E-1,9.858384132E0,2.368056923E-1
4.516484380E-1,-5.143990517E-1,9.812912941E0,2.176616639E-1
4.566109380E-1,-5.167931914E-1,9.832057953E0,3.061992526E-1
4.615734380E-1,-5.407160521E-1,9.879913330E0,3.205548823E-1
4.665375000E-1,-4.761109650E-1,9.800951958E0,2.176616639E-1
4.715000000E-1,-3.732177317E-1,9.803345680E0,2.463825047E-1
4.764640630E-1,-3.923617899E-1,9.803345680E0,2.846610248E-1
4.814281250E-1,-3.229682446E-1,9.762663841E0,2.176616639E-1
4.863906250E-1,-2.535746992E-1,9.800951958E0,2.966320217E-1
4.913531250E-1,-2.966511548E-1,9.841633797E0,4.521593750E-1
4.963171880E-1,-2.368248552E-1,9.827268600E0,5.885522366E-1
5.012796880E-1,-2.559688985E-1,9.858384132E0,7.369065285E-1
5.062437500E-1,-1.937579513E-1,9.865556717E0,8.637226820E-1
5.112062500E-1,-2.129019946E-1,9.836845398E0,8.876550794E-1
5.161687500E-1,-1.985463500E-1,9.865556717E0,8.852608800E-1
5.211328130E-1,-1.841907203E-1,9.860768318E0,9.546543956E-1
5.260953130E-1,-1.674408913E-1,9.906239510E0,8.948376179E-1
5.310578130E-1,-1.794023216E-1,9.899056435E0,8.110885024E-1
5.360218750E-1,-2.296518236E-1,9.896661758E0,7.393007874E-1
5.409859380E-1,-3.564679027E-1,9.896661758E0,7.225509286E-1
5.459468750E-1,-3.373238444E-1,9.860768318E0,6.770898700E-1
5.509109380E-1,-4.091115892E-1,9.884700775E0,7.034068704E-1
5.558734380E-1,-4.426112771E-1,9.913412094E0,7.201567292E-1
5.608375000E-1,-4.880723953E-1,9.877518654E0,7.153682709E-1
5.658015630E-1,-4.282556474E-1,9.918201447E0,7.584447861E-1
5.707640630E-1,-4.569669068E-1,9.853595734E0,6.770898700E-1
5.757265630E-1,-4.665437341E-1,9.915806770E0,7.081953287E-1
5.806890630E-1,-4.521880746E-1,9.824884415E0,7.847618461E-1
5.856531250E-1,-4.091115892E-1,9.860768318E0,7.034068704E-1
5.906171880E-1,-3.780061305E-1,9.844018936E0,7.656177878E-1
5.955796880E-1,-3.492948711E-1,9.841633797E0,7.488679886E-1
6.005437500E-1,-3.947559893E-1,9.832057953E0,7.488679886E-1
6.055062500E-1,-3.947559893E-1,9.858384132E0,7.034068704E-1
6.104687500E-1,-4.258614480E-1,9.805740356E0,6.388017535E-1
6.154328130E-1,-3.564679027E-1,9.788990021E0,6.627342105E-1
6.203953130E-1,-3.181893826E-1,9.800951958E0,6.651188135E-1
6.253578130E-1,-2.918627560E-1,9.812912941E0,6.723014116E-1
6.303218750E-1,-2.679399252E-1,9.805740356E0,5.119856596E-1
6.352843750E-1,-3.684388995E-1,9.805740356E0,5.694081783E-1
6.402484380E-1,-3.373238444E-1,9.815307617E0,5.598409176E-1
