"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.317953130E-1,-6.771089435E-1,9.894268990E0,6.794840097E-1
4.367578130E-1,-6.866762042E-1,9.891883850E0,6.316191554E-1
4.417218750E-1,-7.393198609E-1,9.927767754E0,6.316191554E-1
4.466843750E-1,-6.866762042E-1,9.930162430E0,6.818686724E-1
4.516484380E-1,-7.225700617E-1,9.879913330E0,7.871560454E-1
4.566109380E-1,-6.866762042E-1,9.894268990E0,8.254441619E-1
4.615734380E-1,-6.531764865E-1,9.913412094E0,8.541554213E-1
4.665375000E-1,-6.005424261E-1,9.951700211E0,8.541554213E-1
4.715000000E-1,-6.077154279E-1,9.985199928E0,8.254441619E-1
4.764625000E-1,-6.268594265E-1,9.966055870E0,8.134731650E-1
4.814265630E-1,-6.220710278E-1,9.932557106E0,6.675130129E-1
4.863890630E-1,-6.029270291E-1,9.901451111E0,6.746956110E-1
4.913531250E-1,-6.101096272E-1,9.922988892E0,7.440891862E-1
4.963156250E-1,-5.646485090E-1,9.927767754E0,6.364075541E-1
5.012796880E-1,-5.933598280E-1,9.891883850E0,6.268403530E-1
5.062421880E-1,-5.455045104E-1,9.855990410E0,5.000146627E-1
5.112046880E-1,-5.766099691E-1,9.913412094E0,4.449863136E-1
5.161687500E-1,-5.885714293E-1,9.915806770E0,4.090924561E-1
5.211328130E-1,-6.196768880E-1,9.860768318E0,3.277374804E-1
5.260953130E-1,-6.077154279E-1,9.860768318E0,3.061992526E-1
5.310578130E-1,-6.483976841E-1,9.879913330E0,3.301316798E-1
5.360218750E-1,-5.981481671E-1,9.877518654E0,3.157664835E-1
5.409843750E-1,-6.627533436E-1,9.860768318E0,4.641303718E-1
5.459468750E-1,-6.029270291E-1,9.899056435E0,4.425921440E-1
5.509109380E-1,-5.598601103E-1,9.875133514E0,5.191587210E-1
5.558734380E-1,-6.316478848E-1,9.839240074E0,5.311201215E-1
5.608375000E-1,-5.981481671E-1,9.820096016E0,4.928416312E-1
5.658000000E-1,-5.981481671E-1,9.848807335E0,5.287354589E-1
5.707640630E-1,-5.455045104E-1,9.913412094E0,5.550525784E-1
5.757265630E-1,-6.579648852E-1,9.980412483E0,5.454853773E-1
5.806890630E-1,-7.704253793E-1,9.901451111E0,5.789849758E-1
5.856531250E-1,-6.699264050E-1,9.930162430E0,6.220518947E-1
5.906156250E-1,-7.656465173E-1,9.946911812E0,6.699072123E-1
5.955796880E-1,-5.981481671E-1,9.951700211E0,6.483689547E-1
6.005421880E-1,-6.005424261E-1,1.003305531E1,6.220518947E-1
6.055062500E-1,-6.579648852E-1,1.001391125E1,6.244460940E-1
6.104687500E-1,-6.029270291E-1,1.004980564E1,5.454853773E-1
6.154312500E-1,-6.460034847E-1,9.970844269E0,4.928416312E-1
6.203953130E-1,-6.651475430E-1,1.004501629E1,3.540545404E-1
6.253578130E-1,-7.704253793E-1,1.005698872E1,2.822668254E-1
6.303218750E-1,-8.781070113E-1,9.970844269E0,3.492661417E-1
6.352843750E-1,-8.709243536E-1,1.006416130E1,3.205548823E-1
6.402484380E-1,-8.302516937E-1,1.014312172E1,5.048030615E-1
6.452109380E-1,-7.800021768E-1,1.007373714E1,7.153682709E-1
6.501734380E-1,-6.986472011E-1,1.013355446E1,8.254441619E-1
6.551375000E-1,-6.675417423E-1,1.022209167E1,1.004903913E0
6.601000000E-1,-5.813983679E-1,1.015748692E1,1.110191226E0
6.650640630E-1,-5.861771703E-1,1.018619823E1,1.153258204E0
6.700265630E-1,-4.617553055E-1,9.872738838E0,1.342294812E0
6.749906250E-1,-4.282556474E-1,1.016944790E1,1.337506413E0
6.799531250E-1,-4.402170777E-1,1.022209167E1,1.349467874E0
6.849156250E-1,-5.646485090E-1,1.020055389E1,1.186757922E0
6.898796880E-1,-5.287546515E-1,1.009288216E1,1.205901980E0
6.948421880E-1,-3.038241863E-1,1.008330441E1,1.119758487E0
6.998062500E-1,-3.205740452E-1,1.005938148E1,1.181969523E0
7.047687500E-1,-2.631514966E-1,9.913412094E0,1.088653088E0
7.097312500E-1,-3.086126149E-1,9.863162994E0,9.881540537E-1
7.146953130E-1,-2.440074682E-1,9.877518654E0,8.158673048E-1
7.196578130E-1,1.149025261E-1,1.009526634E1,6.699072123E-1
7.246218750E-1,2.943718731E-1,1.021012115E1,5.670139790E-1
7.295843750E-1,1.077295020E-1,9.863162994E0,5.981194377E-1
7.345484380E-1,-8.129751682E-2,9.542531013E0,4.808706343E-1
7.395109380E-1,-1.363354176E-1,9.463561058E0,4.330153167E-1
7.444734380E-1,9.634267539E-3,9.525781631E0,3.875542283E-1
7.494375000E-1,1.340465695E-1,9.611914635E0,3.277374804E-1
7.544000000E-1,2.177957445E-1,9.616703987E0,4.066982567E-1
7.593640630E-1,3.326503932E-1,9.544916153E0,3.468815386E-1
7.643265630E-1,4.690432847E-1,9.571242332E0,4.210538864E-1
7.692906250E-1,6.054361463E-1,9.652597427E0,8.278383017E-1
7.742531250E-1,-2.009405643E-1,9.654992104E0,5.383027196E-1
7.792156250E-1,-3.301508427E-1,9.602347374E0,1.650275439E-1
7.841796880E-1,-5.215719938E-1,9.626279831E0,1.905784570E-2
7.891421880E-1,-5.790041685E-1,9.774634361E0,-2.226033062E-1
7.941062500E-1,-8.326458931E-1,9.750701904E0,-3.829286098E-1
7.990687500E-1,-8.996452093E-1,9.779414177E0,-4.044572711E-1
8.040328130E-1,-9.833943844E-1,9.808135033E0,-2.800354064E-1
