"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.722375000E-1,2.789734304E-1,-2.536312342E-1,-9.765116870E-2
3.772000000E-1,2.628291249E-1,-2.612932324E-1,-9.765116870E-2
3.821640630E-1,2.628291249E-1,-2.612932324E-1,-9.765116870E-2
3.871265630E-1,2.351831198E-1,-2.782403827E-1,-9.983283281E-2
3.920906250E-1,2.351831198E-1,-2.782403827E-1,-9.983283281E-2
3.970531250E-1,2.061233819E-1,-3.003886044E-1,-1.030616909E-1
4.020156250E-1,2.061233819E-1,-3.003886044E-1,-1.030616909E-1
4.069796880E-1,1.806590259E-1,-3.249104917E-1,-1.080533341E-1
4.119421880E-1,1.806590259E-1,-3.249104917E-1,-1.080533341E-1
4.169062500E-1,1.610240787E-1,-3.491007686E-1,-1.132020578E-1
4.218687500E-1,1.610240787E-1,-3.491007686E-1,-1.132020578E-1
4.268312500E-1,1.457524449E-1,-3.683691919E-1,-1.173035800E-1
4.317953130E-1,1.457524449E-1,-3.683691919E-1,-1.173035800E-1
4.367578130E-1,1.196248680E-1,-3.922452927E-1,-1.198343039E-1
4.417218750E-1,1.196248680E-1,-3.922452927E-1,-1.198343039E-1
4.466843750E-1,8.402015269E-2,-4.091226161E-1,-1.213003844E-1
4.516484380E-1,8.402015269E-2,-4.091226161E-1,-1.213003844E-1
4.566109380E-1,4.522148147E-2,-4.163832068E-1,-1.206022501E-1
4.615734380E-1,4.522148147E-2,-4.163832068E-1,-1.206022501E-1
4.665375000E-1,8.552113548E-3,-4.204672575E-1,-1.177224591E-1
4.715000000E-1,8.552113548E-3,-4.204672575E-1,-1.177224591E-1
4.764625000E-1,-2.246238664E-2,-4.107981324E-1,-1.119105145E-1
4.814265630E-1,-2.246238664E-2,-4.107981324E-1,-1.119105145E-1
4.863890630E-1,-4.426154867E-2,-3.912853599E-1,-1.036551073E-1
4.913531250E-1,-4.426154867E-2,-3.912853599E-1,-1.036551073E-1
4.963156250E-1,-6.243042648E-2,-3.560471535E-1,-9.428268671E-2
5.012796880E-1,-6.243042648E-2,-3.560471535E-1,-9.428268671E-2
5.062421880E-1,-7.147122920E-2,-3.178593516E-1,-8.417722583E-2
5.112046880E-1,-7.147122920E-2,-3.178593516E-1,-8.417722583E-2
5.161687500E-1,-1.436406001E-2,-4.797910154E-2,-1.410226058E-2
5.211328130E-1,-1.436406001E-2,-4.797910154E-2,-1.410226058E-2
5.260953130E-1,-7.770206034E-2,-2.028770745E-1,-6.794566661E-2
5.310578130E-1,-7.770206034E-2,-2.028770745E-1,-6.794566661E-2
5.360218750E-1,-7.159340382E-2,-1.692096740E-1,-5.920156837E-2
5.409843750E-1,-7.159340382E-2,-1.692096740E-1,-5.920156837E-2
5.459468750E-1,-6.757915020E-2,-1.342332661E-1,-5.117305368E-2
5.509109380E-1,-6.757915020E-2,-1.342332661E-1,-5.117305368E-2
5.558734380E-1,-6.620033830E-2,-1.114567220E-1,-4.258603230E-2
5.608375000E-1,-6.620033830E-2,-1.114567220E-1,-4.258603230E-2
5.658000000E-1,-6.871361285E-2,-7.845254987E-2,-3.146828711E-2
5.707640630E-1,-6.871361285E-2,-7.845254987E-2,-3.146828711E-2
5.757265630E-1,-7.332128286E-2,-3.223622963E-2,-1.696459949E-2
5.806890630E-1,-7.332128286E-2,-3.223622963E-2,-1.696459949E-2
5.856531250E-1,-7.766715437E-2,-4.188790335E-4,-4.537856206E-3
5.906156250E-1,-7.766715437E-2,-4.188790335E-4,-4.537856206E-3
5.955796880E-1,-8.073893189E-2,2.049016580E-2,2.600540640E-3
6.005421880E-1,-8.073893189E-2,2.049016580E-2,2.600540640E-3
6.055062500E-1,-8.121016622E-2,3.134611249E-2,6.422811653E-3
6.104687500E-1,-8.121016622E-2,3.134611249E-2,6.422811653E-3
6.154312500E-1,-8.016297221E-2,2.572615258E-2,7.051130291E-3
6.203953130E-1,-8.016297221E-2,2.572615258E-2,7.051130291E-3
6.253578130E-1,-7.674212754E-2,1.727875881E-2,5.777040031E-3
6.303218750E-1,-7.674212754E-2,1.727875881E-2,5.777040031E-3
6.352843750E-1,-1.392772701E-2,2.792526793E-4,3.490658419E-4
6.402484380E-1,-1.392772701E-2,2.792526793E-4,3.490658419E-4
6.452109380E-1,-1.464331243E-2,-3.490658419E-4,3.490658492E-5
6.501734380E-1,-1.464331243E-2,-3.490658419E-4,3.490658492E-5
6.551375000E-1,-8.529423922E-2,-2.513274085E-3,-1.221730490E-3
6.601000000E-1,-8.529423922E-2,-2.513274085E-3,-1.221730490E-3
6.650640630E-1,-9.295623749E-2,-4.328416660E-2,-9.930923581E-3
6.700265630E-1,-9.295623749E-2,-4.328416660E-2,-9.930923581E-3
