"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.639840000E-1,-4.981640625E-1,9.951755219E0,6.258485413E-1
7.740310000E-1,-5.387297058E-1,9.969717865E0,6.741979980E-1
7.840710000E-1,-5.201683044E-1,9.921069031E0,6.514453125E-1
7.941370000E-1,-4.869374084E-1,9.916728058E0,5.957611084E-1
8.041660000E-1,-4.427792358E-1,9.864786072E0,5.581892395E-1
8.142230000E-1,-4.173321533E-1,9.871522064E0,4.715194702E-1
8.242970000E-1,-4.423301697E-1,9.825417938E0,4.567002869E-1
8.343260000E-1,-4.504133606E-1,9.827513580E0,4.818479919E-1
8.443810000E-1,-4.261637878E-1,9.831704865E0,4.923262024E-1
8.544600000E-1,-4.752616882E-1,9.786199493E0,5.284011841E-1
8.645210000E-1,-4.778063965E-1,9.824370117E0,5.282514954E-1
8.745450000E-1,-5.149291992E-1,9.808203735E0,5.237608337E-1
8.846220000E-1,-5.834866333E-1,9.783804474E0,5.843847656E-1
8.946800000E-1,-6.245013428E-1,9.739346924E0,6.930587769E-1
9.047030000E-1,-6.126759338E-1,9.813442841E0,6.728507996E-1
9.147760000E-1,-5.906716919E-1,9.856104126E0,5.935157776E-1
9.248390000E-1,-5.071453857E-1,9.916728058E0,5.367837524E-1
9.348610000E-1,-4.477189636E-1,9.934391327E0,5.044509888E-1
9.449320000E-1,-4.596940613E-1,9.921368408E0,5.037025452E-1
9.549700000E-1,-5.227130127E-1,9.903854828E0,4.948709106E-1
9.650490000E-1,-5.104385376E-1,9.889634399E0,4.945715332E-1
9.750980000E-1,-5.228627014E-1,9.884095917E0,4.752616882E-1
9.851550000E-1,-4.885839844E-1,9.842781830E0,4.331991577E-1
9.952080000E-1,-5.146298218E-1,9.853559418E0,4.300556946E-1
1.005258000E0,-5.307962036E-1,9.887688446E0,4.299060059E-1
1.015296000E0,-5.263055420E-1,9.884994049E0,3.968247986E-1
1.025367000E0,-5.430706787E-1,9.934990082E0,4.155358887E-1
1.035396000E0,-5.489085388E-1,9.857451324E0,4.980143738E-1
1.045473000E0,-5.510041809E-1,9.820777588E0,5.563929749E-1
