"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.407400000E-1,8.647652343E-3,-2.655590884E-2,6.476761308E-3
7.507490000E-1,2.027418092E-2,-9.404242039E-3,1.077208668E-2
7.607280000E-1,3.831123561E-2,2.455349779E-3,1.842175052E-2
7.707380000E-1,4.888381064E-2,1.960506104E-2,2.379689179E-2
7.807770000E-1,4.248912632E-2,3.556841984E-2,2.042878792E-2
7.907670000E-1,2.867034264E-2,3.867901862E-2,1.489620470E-2
8.007770000E-1,2.232429571E-2,2.903012000E-2,1.165806782E-2
8.108060000E-1,2.333300002E-2,1.200101897E-2,2.242480032E-2
8.207850000E-1,2.330370806E-2,-5.050670356E-3,2.891918644E-2
8.307950000E-1,2.121934295E-2,-1.147080213E-2,2.677917294E-2
8.408160000E-1,1.063464396E-2,-8.350189775E-3,1.914576441E-2
8.508150000E-1,6.385616027E-3,-9.085720521E-4,1.690951735E-2
8.608250000E-1,1.066153962E-2,3.383817850E-3,1.693246514E-2
8.708330000E-1,1.175849698E-2,6.594196893E-3,1.690921374E-2
8.808540000E-1,1.710213162E-2,4.487902857E-3,1.698777825E-2
8.908640000E-1,1.925552450E-2,-8.353990270E-4,1.702848636E-2
9.008930000E-1,1.706595719E-2,-2.965290332E-3,2.126433514E-2
9.108840000E-1,7.548883557E-3,-6.243110169E-3,1.368071698E-2
9.208940000E-1,-7.253584452E-3,-5.303017795E-3,-4.014440347E-4
9.309230000E-1,-1.901765354E-2,1.037244452E-3,-5.650364328E-4
9.409020000E-1,-1.695079915E-2,4.272173624E-3,5.869246088E-3
9.509120000E-1,-8.504049852E-3,8.611533791E-3,1.343395468E-2
9.609510000E-1,3.202567808E-3,1.222652616E-3,1.895400323E-2
9.709300000E-1,1.485230122E-2,-4.017917905E-3,2.874378301E-2
9.809400000E-1,8.485605009E-3,-5.133309867E-3,2.438329346E-2
9.909790000E-1,3.216354409E-3,-9.265118861E-4,1.465959754E-2
1.000958000E0,1.018447918E-3,1.480704668E-4,1.996807568E-2
1.010968000E0,1.374544390E-2,-4.028136842E-3,2.763808519E-2
1.020979000E0,1.588115282E-2,-2.868704265E-3,2.858036011E-2
1.030988000E0,1.487740595E-2,3.047178034E-4,2.214163542E-2
1.040998000E0,1.377589814E-2,8.840254508E-3,2.314993925E-2
1.051007000E0,1.579465717E-2,1.848637685E-2,3.166417778E-2
