"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.345484370E-1,-7.310000062E-2,3.412999809E-1,-1.899999916E-3
7.444750000E-1,1.542999893E-1,3.863999844E-1,1.675999910E-1
7.544015620E-1,2.140999883E-1,3.716000021E-1,1.551000029E-1
7.643265620E-1,1.620000005E-1,3.971999884E-1,2.123999894E-1
7.742531250E-1,5.329999700E-2,2.430000007E-1,7.569999993E-2
7.841796870E-1,3.790000081E-2,1.759999990E-1,-1.202999949E-1
7.941062500E-1,8.799999952E-3,8.819999546E-2,-2.222999930E-1
8.040328120E-1,2.430999875E-1,6.279999763E-2,-6.759999692E-2
8.139578120E-1,1.840000004E-1,-3.619999811E-2,1.594000012E-1
8.238859370E-1,-4.039999843E-2,-8.280000091E-2,1.671999991E-1
8.338109370E-1,-2.861000001E-1,4.519999772E-2,-1.689999923E-2
8.437375000E-1,-4.370999932E-1,1.614999920E-1,-1.911000013E-1
8.536625000E-1,-4.990999997E-1,2.928999960E-1,-2.001999915E-1
8.635890620E-1,-4.118999839E-1,4.639999866E-1,-1.519999932E-2
8.735156250E-1,-3.515000045E-1,5.295000076E-1,2.659999952E-2
8.834421870E-1,-3.154999912E-1,5.960999727E-1,-1.194999963E-1
8.933687500E-1,1.402999908E-1,8.269000053E-1,-3.822000027E-1
9.032953120E-1,4.403999746E-1,7.360999584E-1,-8.041999936E-1
9.132203120E-1,1.146999970E-1,4.959999919E-1,8.797999620E-1
9.231468750E-1,3.709000051E-1,6.679999828E-1,1.624899983E0
9.330734370E-1,5.616999865E-1,4.863999784E-1,5.817999840E-1
9.430000000E-1,3.720999956E-1,3.321000040E-1,-3.425000012E-1
9.529281250E-1,2.145999968E-1,3.150999844E-1,-2.194999903E-1
9.628531250E-1,3.029999882E-2,1.979999989E-1,-5.289999768E-2
9.727796870E-1,-3.999999899E-4,1.409000009E-1,3.079999983E-2
9.827046870E-1,-4.669999704E-2,1.488000005E-1,8.799999952E-2
9.926328120E-1,-1.425999999E-1,1.493999958E-1,-6.229999661E-2
1.002557812E0,-2.127999961E-1,2.204999924E-1,-1.541000009E-1
1.012484375E0,-2.556000054E-1,1.323999912E-1,-2.845000029E-1
1.022410937E0,-1.371999979E-1,1.759999990E-1,-2.328999937E-1
1.032337500E0,8.899999782E-3,1.561999917E-1,-3.199999779E-2
1.042262500E0,1.166999936E-1,8.139999956E-2,6.419999897E-2
1.052189062E0,1.150999963E-1,1.189999953E-1,1.252999902E-1
1.062117187E0,-4.160000011E-2,2.741999924E-1,2.296999991E-1
1.072043750E0,-2.286999971E-1,3.950999975E-1,2.550999820E-1
1.081968750E0,-2.619000077E-1,2.935999930E-1,5.849999934E-2
1.091895312E0,-1.072999984E-1,2.709999979E-1,-2.083999962E-1
1.101821875E0,6.509999931E-2,3.334999979E-1,-2.267999947E-1
1.111746875E0,-4.309999943E-2,4.060999751E-1,2.739000022E-1
1.121673437E0,-5.229999870E-2,5.713999867E-1,2.468999922E-1
1.131600000E0,-6.079999730E-2,4.594999850E-1,3.830000013E-2
1.141526562E0,-9.119999409E-2,2.936999798E-1,-1.212999970E-1
1.151453125E0,3.170000017E-2,2.565999925E-1,-1.797000021E-1
1.161379687E0,2.093999982E-1,2.523999810E-1,-1.163999960E-1
1.171306250E0,3.166999817E-1,8.280000091E-2,-6.159999967E-2
1.181231250E0,2.967000008E-1,1.889999956E-2,2.719999850E-2
1.191157812E0,1.061000004E-1,4.629999772E-2,-7.699999958E-3
1.201084375E0,-9.999999311E-4,7.769999653E-2,7.739999890E-2
1.211010937E0,-3.390000015E-2,2.397999913E-1,1.647000015E-1
1.220937500E0,-1.691000015E-1,3.535999954E-1,1.727999896E-1
1.230864062E0,-9.519999474E-2,3.260000050E-1,3.561999798E-1
1.240790625E0,6.759999692E-2,3.533000052E-1,3.519999981E-1
1.250717187E0,3.619999811E-2,6.335999966E-1,2.813999951E-1
1.260642187E0,-3.700000001E-3,6.894999743E-1,3.076999784E-1
1.270568750E0,6.089999899E-2,6.103000045E-1,2.604999840E-1
1.280495312E0,2.339999937E-2,4.755999744E-1,1.799999969E-3
1.290421875E0,6.489999592E-2,3.245999813E-1,-3.233999908E-1
1.300348437E0,2.001999915E-1,3.756999969E-1,-3.744999766E-1
1.310275000E0,1.842999905E-1,2.777999938E-1,-2.621999979E-1
1.320200000E0,6.419999897E-2,2.114999890E-1,-2.779999934E-2
1.330126562E0,-1.829999872E-2,2.303999960E-1,5.799999833E-2
1.340054687E0,-1.123999953E-1,2.398999929E-1,1.102999970E-1
1.349979687E0,-2.630999982E-1,3.808999956E-1,1.563999951E-1
1.359906250E0,-3.190000057E-1,4.168999791E-1,1.926999986E-1
1.369831250E0,-4.440999925E-1,5.009999871E-1,1.715999991E-1
1.379757812E0,-3.501999974E-1,2.017000020E-1,2.574999928E-1
1.389684375E0,-2.799999900E-3,8.922999501E-1,-2.644999921E-1
1.399610937E0,-2.360999882E-1,4.220999777E-1,-3.994999826E-1
1.409537500E0,-2.229999937E-2,3.725999892E-1,-2.106999904E-1
1.419464062E0,1.018999964E-1,2.013999969E-1,-1.591999978E-1
1.429390625E0,7.599999662E-3,1.466999948E-1,5.329999700E-2
1.439317187E0,1.228999943E-1,2.274999917E-1,2.006999999E-1
1.449242187E0,3.309999779E-2,2.803999782E-1,1.768999994E-1
1.459170312E0,-1.209999993E-2,1.926999986E-1,-4.399999976E-3
1.469095312E0,1.083000004E-1,1.614999920E-1,-1.544999927E-1
1.479021875E0,2.099999934E-1,1.562999934E-1,-1.474999934E-1
1.488948437E0,1.252000034E-1,1.232999936E-1,5.150000006E-2
1.498875000E0,1.361999959E-1,2.967999876E-1,1.554999948E-1
1.508800000E0,-1.389999967E-2,2.178999931E-1,8.370000124E-2
1.518726562E0,4.949999973E-2,2.150999904E-1,-1.861999929E-1
1.528653125E0,1.738999933E-1,2.016000003E-1,-2.292999923E-1
1.538579687E0,1.319999993E-1,2.757000029E-1,-5.509999767E-2
1.548506250E0,1.195999980E-1,5.450999737E-1,2.579999901E-2
1.558432812E0,2.039999887E-2,7.881000042E-1,1.656999886E-1
1.568359375E0,-1.661999971E-1,1.076799989E0,2.892999947E-1
1.578285937E0,-1.176999956E-1,1.388599992E0,3.572999835E-1
1.588210937E0,-1.915999949E-1,1.647499919E0,6.531999707E-1
1.598137500E0,-1.667999923E-1,1.997399926E0,6.024999619E-1
1.608064062E0,-8.079999685E-2,2.262899876E0,6.688999534E-1
1.617990625E0,7.159999758E-2,2.355700016E0,4.523999989E-1
1.627917187E0,1.677999943E-1,2.519399881E0,5.604999661E-1
1.637843750E0,1.498999894E-1,2.702299833E0,5.389999747E-1
1.647770312E0,4.699999839E-2,2.686699867E0,4.456000030E-1
1.657695312E0,-6.599999964E-2,2.740599871E0,3.082999885E-1
1.667621875E0,-3.280000016E-2,2.779899836E0,3.766999841E-1
1.677548437E0,-2.869999968E-2,2.852299929E0,3.740999997E-1
1.687475000E0,-8.500000089E-2,2.889299870E0,1.856999993E-1
1.697401562E0,-1.534999907E-1,3.006799936E0,2.630999982E-1
1.707326562E0,-1.773999929E-1,2.746599913E0,2.815999985E-1
1.717254687E0,-1.030000001E-1,2.632599831E0,3.186999857E-1
1.727179687E0,-1.099999994E-2,2.612399817E0,5.406000018E-1
1.737106250E0,4.859999940E-2,2.491999865E0,5.688999891E-1
1.747032812E0,-9.799999744E-2,2.029899836E0,4.810999930E-1
1.756959375E0,-4.759999737E-2,1.763199925E0,3.595999777E-1
1.766885937E0,4.039999843E-2,1.537400007E0,3.166999817E-1
1.776812500E0,3.229999915E-2,1.205600023E0,1.393000036E-1
1.786737500E0,1.009999961E-2,9.028999805E-1,1.608999968E-1
1.796664062E0,-5.920000002E-2,7.416999936E-1,1.040000003E-2
1.806590625E0,-1.641999930E-1,5.867999792E-1,-1.239999980E-1
