"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.305465625E0,1.401000023E-1,2.405999899E-1,1.439999975E-2
3.315392187E0,1.083999947E-1,2.291999906E-1,-8.229999989E-2
3.325318750E0,2.929999866E-2,2.088999897E-1,-1.035999954E-1
3.335243750E0,-2.939999849E-2,2.188999951E-1,-1.899999916E-3
3.345170312E0,-1.150000002E-2,2.782000005E-1,1.510999948E-1
3.355095312E0,2.569999918E-2,2.397999913E-1,2.087000012E-1
3.365023437E0,1.222999990E-1,2.230999917E-1,2.440999895E-1
3.374948437E0,2.137999982E-1,1.692000031E-1,1.657999903E-1
3.384875000E0,2.196999937E-1,2.048999965E-1,1.366000026E-1
3.394801562E0,1.033999994E-1,2.301999927E-1,1.041999981E-1
3.404728125E0,5.179999769E-2,2.354999930E-1,7.580000162E-2
3.414653125E0,5.229999870E-2,1.697999984E-1,2.699999837E-3
3.424579687E0,7.180000097E-2,1.015999988E-1,-1.024999991E-1
3.434507812E0,1.537999958E-1,1.197999939E-1,-1.812999994E-1
3.444434375E0,4.519999772E-2,1.360999942E-1,-2.447999865E-1
3.454359375E0,-3.790000081E-2,1.445000023E-1,2.410000004E-2
3.464285937E0,-7.339999825E-2,1.530999988E-1,1.119999960E-1
3.474212500E0,-1.691000015E-1,1.916999966E-1,2.270999998E-1
3.484139062E0,-1.511999965E-1,2.787999809E-1,1.235999987E-1
3.494065625E0,-1.376999915E-1,2.885999978E-1,-5.199999735E-2
3.503990625E0,-2.129999995E-1,3.925999999E-1,-1.418000013E-1
3.513917187E0,-1.536999941E-1,4.175999761E-1,-1.656999886E-1
3.523843750E0,-7.660000026E-2,3.746999800E-1,-3.049999848E-2
3.533770312E0,-5.469999835E-2,4.524999857E-1,1.807999909E-1
3.543696875E0,4.829999804E-2,4.834999740E-1,2.254999876E-1
3.553621875E0,1.121999994E-1,4.174000025E-1,1.298999935E-1
3.563548437E0,1.850999892E-1,3.418000042E-1,-1.799999923E-2
3.573475000E0,1.897999942E-1,3.920999765E-1,-1.136000007E-1
