"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.222244100E1,2.100580030E1,0.000000000E0,0.000000000E0,0.000000000E0,5.000000000E2,0.000000000E0
2.240311918E0,5.222244100E1,2.100580030E1,0.000000000E0,0.000000000E0,0.000000000E0,5.000000000E2,0.000000000E0
1.224694369E1,5.222244100E1,2.100580030E1,0.000000000E0,0.000000000E0,0.000000000E0,5.000000000E2,0.000000000E0
2.225529577E1,5.222244100E1,2.100580030E1,0.000000000E0,0.000000000E0,0.000000000E0,5.000000000E2,0.000000000E0
