"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.672750000E-1,-1.087514684E-1,5.054822564E-1,1.456477195E-1
3.722375000E-1,-1.087514684E-1,5.054822564E-1,1.456477195E-1
3.772015630E-1,-1.139350906E-1,4.780282378E-1,1.359785944E-1
3.821640630E-1,-1.139350906E-1,4.780282378E-1,1.359785944E-1
3.871281250E-1,-1.266934574E-1,4.753753245E-1,1.417730898E-1
3.920906250E-1,-1.266934574E-1,4.753753245E-1,1.417730898E-1
3.970546880E-1,-1.429948211E-1,5.385736823E-1,1.755626649E-1
4.020171880E-1,-1.429948211E-1,5.385736823E-1,1.755626649E-1
4.069796880E-1,-1.577254087E-1,5.956285000E-1,2.188468277E-1
4.119437500E-1,-1.577254087E-1,5.956285000E-1,2.188468277E-1
4.169062500E-1,-1.670105606E-1,6.787760258E-1,2.735629082E-1
4.218703130E-1,-1.670105606E-1,6.787760258E-1,2.735629082E-1
4.268328130E-1,-1.811651736E-1,7.005926371E-1,2.968979478E-1
4.317953130E-1,-1.811651736E-1,7.005926371E-1,2.968979478E-1
4.367593750E-1,-1.887224466E-1,7.179935575E-1,3.188367486E-1
4.417218750E-1,-1.887224466E-1,7.179935575E-1,3.188367486E-1
4.466859380E-1,-1.839227974E-1,6.741334200E-1,3.210009634E-1
4.516484380E-1,-1.839227974E-1,6.741334200E-1,3.210009634E-1
4.566125000E-1,-1.735206395E-1,5.519952774E-1,3.048217595E-1
4.615750000E-1,-1.735206395E-1,5.519952774E-1,3.048217595E-1
4.665375000E-1,-1.675341576E-1,5.127777457E-1,3.123441339E-1
4.715015630E-1,-1.675341576E-1,5.127777457E-1,3.123441339E-1
4.764640630E-1,-1.673421711E-1,4.960574806E-1,3.192207217E-1
4.814265630E-1,-1.673421711E-1,4.960574806E-1,3.192207217E-1
4.863906250E-1,-1.678832173E-1,4.629136622E-1,3.227812052E-1
4.913531250E-1,-1.678832173E-1,4.629136622E-1,3.227812052E-1
4.963171880E-1,-1.654048562E-1,5.063374639E-1,3.357838988E-1
5.012796880E-1,-1.654048562E-1,5.063374639E-1,3.357838988E-1
5.062437500E-1,-1.541125774E-1,5.344547033E-1,3.392570913E-1
5.112062500E-1,-1.541125774E-1,5.344547033E-1,3.392570913E-1
5.161687500E-1,-1.371479779E-1,5.327966809E-1,3.300941288E-1
5.211328130E-1,-1.371479779E-1,5.327966809E-1,3.300941288E-1
5.260968750E-1,-1.200961024E-1,4.973664880E-1,3.006678820E-1
5.310593750E-1,-1.200961024E-1,4.973664880E-1,3.006678820E-1
5.360218750E-1,-1.069014147E-1,4.058239460E-1,2.566681206E-1
5.409843750E-1,-1.069014147E-1,4.058239460E-1,2.566681206E-1
5.459484380E-1,-9.566149861E-2,3.086091280E-1,2.136632055E-1
5.509125000E-1,-9.566149861E-2,3.086091280E-1,2.136632055E-1
5.558750000E-1,-8.417722583E-2,2.683269083E-1,1.866106093E-1
5.608390630E-1,-8.417722583E-2,2.683269083E-1,1.866106093E-1
5.658000000E-1,-6.808529049E-2,2.482207268E-1,1.656492054E-1
5.707640630E-1,-6.808529049E-2,2.482207268E-1,1.656492054E-1
5.757265630E-1,-5.229006335E-2,1.830850393E-1,1.262571216E-1
5.806906250E-1,-5.229006335E-2,1.830850393E-1,1.262571216E-1
5.856546880E-1,-4.281292483E-2,9.951867163E-2,8.000589162E-2
5.906171880E-1,-4.281292483E-2,9.951867163E-2,8.000589162E-2
5.955796880E-1,-2.895501256E-2,5.646140128E-2,4.475024343E-2
6.005437500E-1,-2.895501256E-2,5.646140128E-2,4.475024343E-2
6.055078130E-1,-1.787217148E-2,4.042182490E-2,2.405063622E-2
6.104703130E-1,-1.787217148E-2,4.042182490E-2,2.405063622E-2
6.154328130E-1,-3.473205259E-3,5.202826485E-2,1.914626174E-2
6.203968750E-1,-3.473205259E-3,5.202826485E-2,1.914626174E-2
6.253593750E-1,8.255407214E-3,1.514422148E-1,4.291764647E-2
6.303234380E-1,8.255407214E-3,1.514422148E-1,4.291764647E-2
6.352859380E-1,1.705186628E-2,2.405412793E-1,6.002187356E-2
6.402484380E-1,1.705186628E-2,2.405412793E-1,6.002187356E-2
