"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.345500000E-1,1.790999919E-1,2.457999885E-1,-1.780999899E-1
7.444750000E-1,-1.756999940E-1,4.359999895E-1,-2.250999957E-1
7.544015620E-1,-3.102999926E-1,3.849999905E-1,-2.531000078E-1
7.643281250E-1,-2.264999896E-1,4.226999879E-1,-7.589999586E-2
7.742546870E-1,-7.429999858E-2,3.587999940E-1,3.059999831E-2
7.841812500E-1,8.599999361E-3,2.680999935E-1,1.331999898E-1
7.941078120E-1,-1.176999956E-1,2.215999961E-1,1.138999984E-1
8.040343750E-1,2.609999850E-2,2.703000009E-1,2.307999879E-1
8.139593750E-1,1.480000000E-2,3.704999983E-1,2.962999940E-1
8.238859370E-1,-6.830000132E-2,3.391999900E-1,9.769999981E-2
8.338125000E-1,-2.799999900E-2,3.252999783E-1,5.319999903E-2
8.437390620E-1,-5.799999833E-2,3.616999984E-1,8.240000159E-2
8.536656250E-1,2.539999969E-2,4.115999937E-1,3.889999911E-2
8.635921870E-1,4.669999704E-2,4.296999872E-1,1.178999990E-1
8.735171870E-1,1.159999985E-2,4.092999995E-1,2.149999887E-2
8.834437500E-1,-1.630000025E-2,4.876999855E-1,3.999999911E-2
8.933703120E-1,-3.549999744E-2,3.666999936E-1,1.599999960E-3
9.032968750E-1,-1.370000001E-2,3.643999994E-1,-2.399999881E-3
9.132234370E-1,-1.559999958E-2,3.694999814E-1,1.799999969E-3
9.231500000E-1,-1.119999960E-2,2.997999787E-1,3.969999775E-2
9.330765620E-1,1.154999956E-1,4.578000009E-1,1.730999947E-1
9.430015620E-1,1.222999990E-1,4.745999873E-1,2.953000069E-1
9.529281250E-1,-5.879999697E-2,5.202000141E-1,4.459999800E-1
9.628546870E-1,3.795000017E-1,3.849999905E-1,1.961999983E-1
9.727812500E-1,2.529999912E-1,2.225999981E-1,-3.626999855E-1
9.827078120E-1,8.049999923E-2,2.662999928E-1,-7.540000081E-1
9.926343750E-1,2.003999949E-1,2.714999914E-1,-8.130999804E-1
1.002560937E0,1.415999979E-1,2.149000019E-1,-3.712999821E-1
1.012485937E0,-6.599999964E-3,1.668999940E-1,-1.249999925E-2
1.022412500E0,-1.048999950E-1,1.852999926E-1,-1.230999976E-1
1.032339062E0,-1.164999977E-1,2.096999884E-1,-2.483999878E-1
1.042265625E0,4.010000080E-2,2.019999921E-1,1.446999907E-1
1.052192187E0,1.368999928E-1,3.344999850E-1,4.702000022E-1
1.062118750E0,1.009999961E-1,3.279999793E-1,3.068999946E-1
1.072045312E0,5.379999802E-2,3.058999777E-1,1.683000028E-1
1.081970312E0,-1.114999950E-1,3.457999825E-1,1.200000010E-2
1.091896875E0,-3.202999830E-1,5.543999672E-1,3.759999946E-2
1.101823437E0,-4.354999959E-1,4.335999787E-1,1.246999949E-1
1.111750000E0,-5.374999642E-1,3.346000016E-1,-1.399999950E-3
1.121676562E0,-5.848999619E-1,3.199000061E-1,-2.290000021E-2
1.131603125E0,-4.787999988E-1,2.727999985E-1,-1.349999942E-2
1.141529687E0,-2.336999923E-1,4.245999753E-1,1.583999991E-1
1.151454687E0,-1.070999950E-1,4.317999780E-1,-4.699999839E-2
1.161381250E0,-1.879999936E-1,3.599999845E-1,-1.523000002E-1
1.171307812E0,-1.213999987E-1,6.398000121E-1,1.260000020E-1
1.181234375E0,-1.763000011E0,7.580000162E-2,5.521000028E-1
1.191160937E0,9.002999663E-1,7.281999588E-1,-2.538000047E-1
1.201085937E0,1.251799941E0,5.733999610E-1,3.868999779E-1
1.211012500E0,1.271199942E0,2.829000056E-1,6.161999702E-1
1.220939062E0,5.661000013E-1,3.887999952E-1,4.704999924E-1
1.230865625E0,3.589999974E-1,4.806999862E-1,2.186999917E-1
1.240792187E0,6.207999587E-1,4.766999781E-1,-2.651000023E-1
1.250718750E0,5.555999875E-1,5.661000013E-1,-1.049999967E-1
1.260645312E0,7.879999876E-1,5.572999716E-1,2.358999997E-1
1.270570312E0,-7.949999720E-2,3.743000031E-1,8.350999951E-1
1.280496875E0,1.407400012E0,1.156799912E0,3.005999923E-1
1.290423437E0,5.751999617E-1,4.526000023E-1,-1.849000007E-1
1.300350000E0,-1.038800001E0,5.163999796E-1,-6.967999935E-1
1.310276562E0,-1.599499941E0,4.468999803E-1,-4.433999956E-1
1.320203125E0,-1.770699978E0,2.705999911E-1,-1.473999918E-1
1.330129687E0,-1.175499916E0,4.526000023E-1,7.059999555E-2
1.340054687E0,3.920000046E-2,1.185999960E-1,8.844999671E-1
1.349981250E0,-2.393999994E-1,2.820999920E-1,7.659999728E-1
1.359907812E0,-2.118999958E-1,3.189999983E-2,8.999999613E-2
1.369834375E0,-1.645999998E-1,1.586999893E-1,-3.982999921E-1
1.379760937E0,-2.983999848E-1,2.048999965E-1,-6.945999861E-1
1.389687500E0,2.349999920E-2,1.914999932E-1,-5.281000137E-1
1.399614062E0,1.379999965E-1,1.030000001E-1,-4.567999840E-1
1.409539062E0,6.350000203E-2,1.744000018E-1,-3.615999818E-1
1.419465625E0,2.520000003E-2,2.682999969E-1,-2.066999972E-1
1.429392187E0,5.409999937E-2,2.254000008E-1,-1.171999946E-1
1.439318750E0,-1.609999873E-2,2.192000002E-1,-2.549999952E-2
1.449245312E0,-7.449999452E-2,3.858000040E-1,4.149999842E-2
1.459171875E0,-1.294000000E-1,4.853999913E-1,3.869999945E-2
1.469098437E0,-1.403999925E-1,4.483999908E-1,3.280000016E-2
1.479023437E0,4.809999838E-2,3.892999887E-1,-6.229999661E-2
1.488950000E0,1.530999988E-1,3.534999788E-1,-3.176999986E-1
1.498876562E0,6.250000000E-2,3.878999949E-1,-7.459999621E-2
1.508803125E0,6.719999760E-2,3.729999959E-1,2.014999986E-1
1.518729687E0,1.078999937E-1,4.555999935E-1,4.553000033E-1
1.528656250E0,3.342999816E-1,3.644999862E-1,6.100000143E-1
1.538581250E0,5.281000137E-1,3.619000018E-1,6.509000063E-1
1.548507812E0,3.972999752E-1,3.813999891E-1,6.861999631E-1
1.558434375E0,9.389999509E-2,4.715999961E-1,6.451999545E-1
1.568360937E0,-8.999999613E-3,4.652999938E-1,4.431999922E-1
1.578287500E0,5.509999767E-2,4.310999811E-1,1.588999927E-1
1.588214062E0,5.749999732E-2,4.133999944E-1,-2.736999989E-1
1.598140625E0,-3.539999947E-2,3.547999859E-1,-4.957999885E-1
1.608065625E0,-1.058999971E-1,4.168999791E-1,-6.306999922E-1
1.617992187E0,2.269999869E-2,3.263999820E-1,-7.516999841E-1
1.627918750E0,1.412999928E-1,2.459999919E-1,-5.719999671E-1
1.637845312E0,1.953999996E-1,1.290999949E-1,-5.220000148E-1
1.647770312E0,1.535999924E-1,1.201999933E-1,-3.678999841E-1
1.657696875E0,1.158000007E-1,1.283999979E-1,-4.380000010E-2
1.667623437E0,2.399999881E-3,1.484999955E-1,1.674000025E-1
1.677550000E0,-1.722999960E-1,2.364999950E-1,1.477999985E-1
1.687476562E0,-2.201999873E-1,1.974999905E-1,3.044999838E-1
1.697403125E0,8.899999782E-3,2.105999887E-1,3.292999864E-1
1.707329687E0,2.072999924E-1,1.867999882E-1,3.386999965E-1
1.717256250E0,3.044999838E-1,1.645999998E-1,2.985999882E-1
1.727182812E0,2.000999898E-1,1.283999979E-1,3.148999810E-1
1.737107812E0,2.054999918E-1,2.654999793E-1,4.737999737E-1
1.747034375E0,1.937000006E-1,3.096999824E-1,5.072000027E-1
1.756960937E0,1.721999943E-1,3.167999983E-1,4.420999885E-1
1.766887500E0,2.074999958E-1,2.854999900E-1,2.689999938E-1
1.776814062E0,2.094999999E-1,2.133999914E-1,-1.370999962E-1
1.786739062E0,1.216999963E-1,2.442999929E-1,-2.412999868E-1
1.796665625E0,7.099999487E-2,2.254000008E-1,-2.712999880E-1
1.806592187E0,-1.330000013E-1,3.050000072E-1,-2.290999889E-1
1.816518750E0,-1.336999983E-1,2.443999946E-1,-1.944999993E-1
1.826443750E0,3.469999880E-2,2.484999895E-1,-2.556999922E-1
1.836370312E0,-1.127000004E-1,3.018999994E-1,-1.942999959E-1
1.846296875E0,-5.439999700E-2,2.633000016E-1,1.139999926E-2
1.856223437E0,-6.809999794E-2,3.082999885E-1,1.075999960E-1
1.866150000E0,-1.428000033E-1,2.953000069E-1,1.048000008E-1
1.876076562E0,-1.031999961E-1,2.920999825E-1,1.209999993E-2
1.886003125E0,4.589999840E-2,3.237999976E-1,2.769999951E-2
1.895929687E0,9.739999473E-2,3.136999905E-1,-8.499999531E-3
1.905856250E0,1.068999991E-1,2.434999943E-1,-3.399999812E-2
1.915781250E0,1.768999994E-1,2.545000017E-1,-1.159999985E-2
1.925707812E0,2.140999883E-1,2.206999958E-1,1.879999973E-2
1.935634375E0,1.111999974E-1,2.663999796E-1,2.113000005E-1
1.945560937E0,6.839999557E-2,3.712999821E-1,1.882999986E-1
1.955485937E0,8.419999480E-2,2.700999975E-1,3.289999813E-2
1.965412500E0,-3.009999916E-2,3.242000043E-1,8.460000157E-2
1.975339062E0,-1.232999936E-1,2.664999962E-1,6.700000167E-2
1.985265625E0,-8.039999753E-2,3.524000049E-1,5.639999732E-2
1.995192187E0,-1.201999933E-1,3.209999800E-1,1.200999990E-1
2.005118750E0,-7.310000062E-2,2.814999819E-1,8.229999989E-2
2.015045312E0,-1.225999966E-1,3.010999858E-1,1.340000033E-1
2.024970312E0,-9.589999914E-2,3.213999867E-1,9.699999541E-2
2.034896875E0,6.699999794E-3,3.319999874E-1,2.679999918E-2
2.044823437E0,-9.459999949E-2,3.567000031E-1,-9.709999710E-2
2.054750000E0,-4.429999739E-2,3.893999755E-1,-1.516000032E-1
2.064676562E0,-4.270000011E-2,3.877999783E-1,-2.658999860E-1
2.074603125E0,-4.899999872E-2,4.066999853E-1,-1.820999980E-1
2.084529687E0,9.019999951E-2,4.147999883E-1,-2.624999881E-1
2.094454687E0,1.843999922E-1,4.060999751E-1,-3.461000025E-1
2.104381250E0,7.209999859E-2,4.386000037E-1,-2.766999900E-1
2.114307812E0,6.039999798E-2,4.569999874E-1,2.749999985E-2
2.124234375E0,1.579999924E-1,4.197999835E-1,1.854999959E-1
2.134160937E0,1.288999915E-1,3.953999877E-1,4.041999876E-1
2.144087500E0,2.101999968E-1,4.348999858E-1,4.684999883E-1
2.154014062E0,1.783999950E-1,4.037999809E-1,4.366999865E-1
2.163939062E0,1.341999918E-1,3.655000031E-1,3.870999813E-1
2.173865625E0,3.729999810E-2,3.851999938E-1,2.983999848E-1
2.183792187E0,1.249999925E-2,3.639999926E-1,2.723999918E-1
2.193718750E0,-4.999999888E-3,3.540000021E-1,9.009999782E-2
2.203645312E0,-1.929999888E-2,3.617999852E-1,-1.583999991E-1
2.213571875E0,-6.279999763E-2,2.540000081E-1,-2.322999984E-1
2.223498437E0,-1.042999998E-1,2.660000026E-1,-3.766999841E-1
2.233423437E0,-2.330999970E-1,2.131000012E-1,-3.531999886E-1
2.243350000E0,-1.745999902E-1,1.823000014E-1,-3.357999921E-1
2.253276562E0,-1.573999971E-1,7.840000093E-2,-3.035999835E-1
2.263203125E0,-1.323999912E-1,7.609999925E-2,-2.527000010E-1
2.273129687E0,-3.249999881E-2,1.129999943E-2,-9.070000052E-2
2.283056250E0,1.136000007E-1,8.799999952E-3,-1.041999981E-1
2.292982812E0,1.928000003E-1,-4.989999905E-2,-2.889999934E-2
2.302907812E0,1.253999919E-1,-4.869999737E-2,-3.920000046E-2
2.312834375E0,2.058999985E-1,-1.322999895E-1,6.179999933E-2
2.322760937E0,2.358999997E-1,-8.619999886E-2,9.869999439E-2
2.332687500E0,2.845000029E-1,-8.100000210E-3,1.533999890E-1
2.342614062E0,2.313999981E-1,6.279999763E-2,3.735999763E-1
2.352540625E0,1.808999926E-1,6.019999832E-2,2.924999893E-1
2.362465625E0,2.635000050E-1,2.879999951E-2,9.290000051E-2
2.372392187E0,1.941999942E-1,9.609999508E-2,1.393999904E-1
2.382318750E0,9.429999441E-2,5.309999734E-2,1.608999968E-1
2.392245312E0,5.709999800E-2,6.489999592E-2,1.590999961E-1
2.402171875E0,-3.849999979E-2,1.708000004E-1,1.433999985E-1
2.412098437E0,-2.148000002E-1,1.208999977E-1,8.209999651E-2
2.422023437E0,-2.362999916E-1,2.025000006E-1,3.249999881E-2
2.431950000E0,-3.278999925E-1,3.071999848E-1,2.099999972E-2
2.441876562E0,-3.351999819E-1,2.909999788E-1,-4.699999932E-3
2.451803125E0,-3.014999926E-1,3.249000013E-1,-4.100000020E-3
