"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.222096350E1,2.100991680E1,0.000000000E0,0.000000000E0,0.000000000E0,2.214200020E1,0.000000000E0
1.772003114E0,5.222096350E1,2.100991680E1,0.000000000E0,0.000000000E0,0.000000000E0,2.214200020E1,0.000000000E0
1.178323384E1,5.222096350E1,2.100991680E1,0.000000000E0,0.000000000E0,0.000000000E0,2.214200020E1,0.000000000E0
2.179592603E1,5.222096350E1,2.100991680E1,0.000000000E0,0.000000000E0,0.000000000E0,2.214200020E1,0.000000000E0
